r,gAA,gCC,gAC
0.025,0.0,0.0,0.0
0.07500000000000001,0.0,0.0,0.0
0.125,0.0,0.0,0.0
0.17500000000000002,0.0,0.0,0.0
0.225,0.0,0.0,0.0
0.275,0.0,0.0,0.0
0.32500000000000007,0.0,0.0,0.0
0.375,0.0,0.0,0.0
0.42500000000000004,0.0,0.0,0.0
0.475,0.0,0.0,0.0
0.525,0.0,0.0,0.0
0.5750000000000001,0.0,1.8114575600309224e-07,0.0
0.625,0.0,1.1894379127817568e-05,3.776108115229989e-07
0.675,1.900253976671054e-07,0.00018118353236884474,1.3426513370847141e-05
0.7250000000000001,9.182192099398513e-06,0.0016256819098648392,0.00018480296448012253
0.775,0.0001386559333957928,0.010080384457378072,0.001578236023740088
0.8250000000000001,0.0012523617581987054,0.0449178589254073,0.009499101491625014
0.875,0.0078844275773127,0.1473005959680841,0.041614843094494584
0.925,0.03599747877010699,0.36450243711495345,0.13544420531972368
0.9750000000000001,0.12184315485465877,0.7008236891451229,0.3350929974289846
1.025,0.31282144517182636,1.083208173814529,0.6481216730699229
1.0750000000000002,0.6258805929729667,1.3979068475221266,1.0128484619111435
1.125,1.0072265023850557,1.567881060717362,1.3262368109174463
1.1750000000000003,1.3507055323863684,1.5921706271151272,1.5116529876828113
1.225,1.56765281182732,1.5236301179093443,1.5577825802232828
1.275,1.6375956922281958,1.420228667564886,1.50268281401789
1.3250000000000002,1.598026616726511,1.3138120233626354,1.3962092425564039
1.375,1.5004258875129626,1.2132515207231815,1.276443961877309
1.4250000000000003,1.380751993619428,1.1209066780256713,1.1645806026104466
1.475,1.2591437263421965,1.0396525128164917,1.0690661862066593
1.525,1.1501163819474303,0.9734182479387481,0.9928713361059925
1.5750000000000002,1.0622085379896404,0.9260846863233416,0.9365582109944041
1.625,0.9934493354622049,0.8972133506215756,0.8971317123198783
1.6750000000000003,0.9387753025379508,0.8817979800876741,0.8708093818978898
1.725,0.8992132371846013,0.8752018124152523,0.8569675294718189
1.775,0.878160310252485,0.8748656701657775,0.8567156674122478
1.8250000000000002,0.874070582178349,0.8796660556566571,0.8699257238738811
1.875,0.8814852360187606,0.889783153505203,0.8943236539338888
1.9250000000000003,0.8958738411167015,0.9057272945232651,0.9259391324901696
1.975,0.9152197501447354,0.9273143921246169,0.9600111531619014
2.0250000000000004,0.9389374777934696,0.95230042416878,0.9914826364467786
2.075,0.9666829096800096,0.9753572364883824,1.0166992501668553
2.125,0.9971199214174815,0.9917481285026486,1.035076671126446
2.175,1.0264979609333773,1.001124706617869,1.0473290784395477
2.225,1.0494833954930636,1.0043256940842604,1.053266503278729
2.2750000000000004,1.0620064057990657,1.001009554694757,1.0525532582842665
2.325,1.0631257552481452,0.99268082828736,1.0461437876464301
2.375,1.0550796905004565,0.9824093857631802,1.0358675657587777
2.4250000000000003,1.0416292852721265,0.9718870478791363,1.0238195493848652
2.475,1.0256854658970174,0.9628699517487783,1.0128950459568546
2.5250000000000004,1.0083609571886614,0.9579884008200457,1.0055277093428348
2.575,0.990558450392143,0.956826168425839,1.0013403547050022
2.625,0.9744533164630329,0.9559066683649433,0.9983677549401314
2.6750000000000003,0.9618932727720302,0.9536970200761723,0.9958180138976283
2.725,0.9531038255787667,0.9514058142209105,0.9940026216685773
2.7750000000000004,0.9485298044805548,0.9503196039782261,0.9930906698246835
2.825,0.9492328898885114,0.9511756852072331,0.9933201985813804
2.875,0.954461399704073,0.954290859674759,0.9957733302335237
2.9250000000000003,0.9611226258173697,0.9591242131224204,1.001313486304983
2.975,0.9667212093092967,0.9641572704690772,1.0084424645247607
3.0250000000000004,0.9715814228516757,0.9674372595148977,1.0138217669604512
3.075,0.9768058365297443,0.9681111356581285,1.0155095355417654
3.125,0.9812321426792854,0.96743152659874,1.0147739012433528
3.1750000000000003,0.982376287792871,0.9672950084983591,1.014083249802053
3.225,0.979464355127326,0.9678723662965301,1.0141566488540383
3.2750000000000004,0.9741382417154258,0.9672994065373517,1.0141803762503403
3.325,0.9689610246612983,0.9644627916479762,1.013637835833878
3.375,0.9656630545451599,0.9614901927546884,1.0124839679703503
3.4250000000000003,0.9643505332000994,0.9608919069883448,1.0105977124580852
3.475,0.9642140327507198,0.961213497155527,1.0081381706821273
3.5250000000000004,0.9647972716845217,0.9599276618144531,1.0059658313578002
3.575,0.9662889813926582,0.9588512255968246,1.0047506408289797
3.625,0.9688155967400874,0.96143622678654,1.0041030119927632
3.6750000000000003,0.9711420777828473,0.9670193741460054,1.003428826406455
3.725,0.9709889842760875,0.9721823837564199,1.0028625582562625
3.7750000000000004,0.9683164952829824,0.9754652531242176,1.0028912566231276
3.825,0.9664506463887995,0.9774976115485632,1.0034069692567922
3.875,0.9679347252614321,0.978472565422462,1.0034038661158624
3.9250000000000003,0.9715753877535155,0.9783898229329011,1.002459201960504
3.975,0.9750204145760033,0.9782985626170377,1.001941340651464
4.025,0.9772824649551674,0.9790278071216869,1.0030855426172087
4.075,0.9778325903716102,0.9802787485597573,1.0050907996328913
4.125,0.9764765136547953,0.9813114377042949,1.0061941302321291
4.175000000000001,0.9742353223624891,0.9812449909012798,1.005310874991744
4.225,0.9723775989546033,0.9800807187912979,1.0028518072682704
4.275,0.9710201646367224,0.9791960117185359,1.0005116878820834
4.325,0.9696157402605722,0.9792421861049316,0.9996066327766628
4.375,0.9685729721127069,0.9794902870864783,0.9997693778822081
4.425000000000001,0.9690776222841666,0.9795724250298923,0.9997756819876114
4.475,0.9710635452086076,0.9792231307482406,0.9992073449481886
4.525,0.9725613408784421,0.9771389958310374,0.998912700591725
4.575,0.9716827228657285,0.9724497702483028,0.9998638648224751
4.625,0.9688876809137328,0.9665434205184624,1.0020751546932196
4.675000000000001,0.9662578893040128,0.9619814554730416,1.0049535984053704
4.725,0.9649791234814598,0.9603967622776979,1.0081044465081712
4.775,0.9649371010330361,0.962118644701286,1.0113022940872205
4.825000000000001,0.9658913716088187,0.9664755446197054,1.013925872616164
4.875,0.9676314412974358,0.9715862397479396,1.015243316665819
4.925000000000001,0.96953712696384,0.97511513964795,1.015409901557706
4.975,0.9708875696785937,0.9759740733993783,1.0154233804977277
5.025,0.971510831888597,0.9747477559567277,1.0159434419674311
5.075000000000001,0.9717045528281519,0.97294041424271,1.0166922221179475
5.125,0.971581999384811,0.9720993097042403,1.0170375724490213
5.175000000000001,0.9706257870948112,0.9727893533187837,1.016716990308657
5.225,0.9683176203239314,0.9743537761653969,1.015839580698008
5.275,0.9652447137999558,0.9762634676424402,1.0145246262921537
5.325000000000001,0.9625461449482465,0.9784711913918416,1.0129122263953458
5.375,0.9603502398363717,0.9800737112336834,1.011270923129866
5.425000000000001,0.9580243296789703,0.9796970726049291,1.010003788191963
5.475,0.9554142309793419,0.9772835824529824,1.0093928478291376
5.525,0.9530298115333395,0.9744684875846694,1.0090550256509245
5.575000000000001,0.9515102066729962,0.9729812652581132,1.0083188942316557
5.625,0.9510583719387633,0.9729730145825066,1.00704761926744
5.675000000000001,0.9515924047735236,0.9735695223575582,1.0054181667547164
5.725,0.953287664754406,0.974274009735342,1.0035854394662156
5.775,0.9559361063494187,0.9751053576325192,1.0019447321166097
5.825000000000001,0.9585114852035873,0.9760631754885185,1.001041024082669
5.875,0.9606995227422502,0.9765329349688274,1.0011649095402624
5.925000000000001,0.963053863725128,0.9758530696835421,1.0021972047782937
5.975,0.9649757920080699,0.9747622168900325,1.003296792079134
