iteration,loss
1.410000000000000000e+02,6.847946206107735634e-04
1.420000000000000000e+02,4.574809281621128321e-04
1.430000000000000000e+02,6.824905285611748695e-04
1.440000000000000000e+02,4.681987920776009560e-04
1.450000000000000000e+02,6.799804395996034145e-04
1.460000000000000000e+02,6.773723289370536804e-04
1.470000000000000000e+02,6.712998729199171066e-04
1.480000000000000000e+02,6.736197974532842636e-04
1.490000000000000000e+02,6.681372178718447685e-04
1.500000000000000000e+02,6.662135128863155842e-04
1.510000000000000000e+02,6.653994205407798290e-04
1.520000000000000000e+02,6.563286297023296356e-04
1.530000000000000000e+02,6.641981890425086021e-04
1.540000000000000000e+02,6.639377679675817490e-04
1.550000000000000000e+02,6.599917542189359665e-04
1.560000000000000000e+02,6.613415316678583622e-04
1.570000000000000000e+02,4.413640708662569523e-04
1.580000000000000000e+02,4.357133293524384499e-04
1.590000000000000000e+02,4.382711485959589481e-04
1.600000000000000000e+02,4.304005415178835392e-04
1.610000000000000000e+02,4.325603658799082041e-04
1.620000000000000000e+02,4.304403264541178942e-04
1.630000000000000000e+02,4.313806421123445034e-04
1.640000000000000000e+02,4.282360896468162537e-04
1.650000000000000000e+02,4.292330995667725801e-04
1.660000000000000000e+02,4.329774819780141115e-04
1.670000000000000000e+02,4.336525453254580498e-04
1.680000000000000000e+02,4.314012185204774141e-04
1.690000000000000000e+02,4.359730519354343414e-04
1.700000000000000000e+02,4.387609369587153196e-04
1.710000000000000000e+02,4.335780977271497250e-04
1.720000000000000000e+02,4.339603474363684654e-04
1.730000000000000000e+02,4.306165501475334167e-04
1.740000000000000000e+02,4.366834764368832111e-04
1.750000000000000000e+02,6.456362316384911537e-04
1.760000000000000000e+02,6.435267860069870949e-04
1.770000000000000000e+02,6.446022307500243187e-04
1.780000000000000000e+02,6.437608390115201473e-04
1.790000000000000000e+02,6.720673991367220879e-04
1.800000000000000000e+02,6.425976171158254147e-04
1.810000000000000000e+02,6.257914938032627106e-04
1.820000000000000000e+02,6.254412000998854637e-04
1.830000000000000000e+02,6.268834695219993591e-04
1.840000000000000000e+02,6.265882402658462524e-04
1.850000000000000000e+02,6.230596918612718582e-04
1.860000000000000000e+02,6.224401295185089111e-04
1.870000000000000000e+02,6.255230982787907124e-04
1.880000000000000000e+02,6.182634970173239708e-04
1.890000000000000000e+02,6.189727573655545712e-04
1.900000000000000000e+02,6.151050911284983158e-04
1.910000000000000000e+02,6.136056035757064819e-04
1.920000000000000000e+02,6.167165702208876610e-04
1.930000000000000000e+02,6.153082358650863171e-04
1.940000000000000000e+02,6.105984211899340153e-04
1.950000000000000000e+02,6.118001765571534634e-04
1.960000000000000000e+02,6.118597229942679405e-04
1.970000000000000000e+02,6.115179858170449734e-04
1.980000000000000000e+02,6.097211153246462345e-04
1.990000000000000000e+02,6.505938945338129997e-04
