r, g_AA_cg,g_CC_cg
3.125000000000000000e+00,9.797415733337402344e-01,1.002642393112182617e+00
3.175000000000000266e+00,9.772030115127563477e-01,1.002517223358154297e+00
3.225000000000000089e+00,9.778326749801635742e-01,1.003571391105651855e+00
3.275000000000000355e+00,9.813264608383178711e-01,1.006564974784851074e+00
3.325000000000000178e+00,9.861408472061157227e-01,1.010998249053955078e+00
3.375000000000000000e+00,9.907461404800415039e-01,1.015238523483276367e+00
3.425000000000000266e+00,9.941036701202392578e-01,1.017781376838684082e+00
3.475000000000000089e+00,9.954705238342285156e-01,1.018015742301940918e+00
3.525000000000000355e+00,9.944635629653930664e-01,1.016213774681091309e+00
3.575000000000000178e+00,9.915440678596496582e-01,1.013717651367187500e+00
3.625000000000000000e+00,9.880648851394653320e-01,1.012629866600036621e+00
3.674999999999999822e+00,9.854689836502075195e-01,1.014155983924865723e+00
3.725000000000000089e+00,9.843058586120605469e-01,1.017400026321411133e+00
3.774999999999999911e+00,9.839097261428833008e-01,1.020321369171142578e+00
3.825000000000000178e+00,9.830983877182006836e-01,1.021472334861755371e+00
3.875000000000000000e+00,9.814761281013488770e-01,1.020512819290161133e+00
3.924999999999999822e+00,9.800078868865966797e-01,1.017704486846923828e+00
3.975000000000000089e+00,9.799727797508239746e-01,1.013702988624572754e+00
4.025000000000000355e+00,9.814307689666748047e-01,1.009746670722961426e+00
4.075000000000000178e+00,9.830647706985473633e-01,1.007166385650634766e+00
4.125000000000000000e+00,9.834573268890380859e-01,1.006235599517822266e+00
4.175000000000000711e+00,9.822518825531005859e-01,1.006049036979675293e+00
4.224999999999999645e+00,9.802381396293640137e-01,1.005963563919067383e+00
4.275000000000000355e+00,9.785731434822082520e-01,1.006764054298400879e+00
4.325000000000000178e+00,9.777208566665649414e-01,1.009809494018554688e+00
4.375000000000000000e+00,9.770452976226806641e-01,1.014933228492736816e+00
4.425000000000000711e+00,9.757262468338012695e-01,1.019731640815734863e+00
4.474999999999999645e+00,9.739400744438171387e-01,1.021539330482482910e+00
4.525000000000000355e+00,9.725096821784973145e-01,1.019876599311828613e+00
4.575000000000000178e+00,9.714212417602539062e-01,1.016413092613220215e+00
4.625000000000000000e+00,9.695566296577453613e-01,1.012829899787902832e+00
4.675000000000000711e+00,9.663122892379760742e-01,1.009394764900207520e+00
4.724999999999999645e+00,9.628241062164306641e-01,1.005575895309448242e+00
4.775000000000000355e+00,9.609823822975158691e-01,1.001495718955993652e+00
4.825000000000001066e+00,9.615138173103332520e-01,9.983828067779541016e-01
4.875000000000000000e+00,9.634221792221069336e-01,9.975429773330688477e-01
4.925000000000000711e+00,9.650658965110778809e-01,9.991167187690734863e-01
4.974999999999999645e+00,9.654774069786071777e-01,1.002032399177551270e+00
5.025000000000000355e+00,9.647996425628662109e-01,1.004923582077026367e+00
5.075000000000001066e+00,9.638252258300781250e-01,1.006741523742675781e+00
5.125000000000000000e+00,9.633187055587768555e-01,1.006716489791870117e+00
5.175000000000000711e+00,9.636735916137695312e-01,1.004519701004028320e+00
5.224999999999999645e+00,9.648865461349487305e-01,1.001000046730041504e+00
5.275000000000000355e+00,9.666110277175903320e-01,9.983121752738952637e-01
5.325000000000001066e+00,9.682663083076477051e-01,9.984614849090576172e-01
5.375000000000000000e+00,9.693152904510498047e-01,1.001601338386535645e+00
5.425000000000000711e+00,9.695652127265930176e-01,1.006030321121215820e+00
5.474999999999999645e+00,9.691183567047119141e-01,1.009558677673339844e+00
5.525000000000000355e+00,9.680517911911010742e-01,1.010632514953613281e+00
5.575000000000001066e+00,9.664344787597656250e-01,1.008795380592346191e+00
5.625000000000000000e+00,9.647465944290161133e-01,1.004850029945373535e+00
5.675000000000000711e+00,9.639209508895874023e-01,1.000536680221557617e+00
5.724999999999999645e+00,9.647042751312255859e-01,9.975751638412475586e-01
5.775000000000000355e+00,9.670586585998535156e-01,9.967350363731384277e-01
5.825000000000001066e+00,9.702060222625732422e-01,9.976542592048645020e-01
5.875000000000000000e+00,9.731016159057617188e-01,9.992856383323669434e-01
5.925000000000000711e+00,9.748723506927490234e-01,1.000400304794311523e+00
5.974999999999999645e+00,9.750845432281494141e-01,1.000000000000000000e+00
