r,U_AA,U_CC,U_AC
2.575000000000000178e+00,-7.849762588739395142e-02,5.571549385786056519e-02,5.855455994606018066e-03
2.625000000000000000e+00,-2.932089567184448242e-02,5.859973281621932983e-02,1.477475184947252274e-02
2.675000000000000266e+00,9.598515927791595459e-03,6.554252654314041138e-02,2.244618162512779236e-02
2.725000000000000089e+00,3.713740408420562744e-02,7.275851815938949585e-02,2.792017906904220581e-02
2.775000000000000355e+00,5.156941711902618408e-02,7.618563622236251831e-02,3.067380189895629883e-02
2.825000000000000178e+00,4.934650659561157227e-02,7.348427921533584595e-02,2.998048067092895508e-02
2.875000000000000000e+00,3.286738693714141846e-02,6.367509812116622925e-02,2.258085831999778748e-02
2.925000000000000266e+00,1.200294494628906250e-02,4.851888865232467651e-02,5.936172790825366974e-03
2.975000000000000089e+00,-5.421549081802368164e-03,3.281732648611068726e-02,-1.534731592983007431e-02
3.025000000000000355e+00,-2.046617865562438965e-02,2.262888848781585693e-02,-3.130728751420974731e-02
3.075000000000000178e+00,-3.655479848384857178e-02,2.053990215063095093e-02,-3.629739955067634583e-02
3.125000000000000000e+00,-5.011830478906631470e-02,2.264663577079772949e-02,-3.412339836359024048e-02
3.175000000000000266e+00,-5.361424386501312256e-02,2.307011932134628296e-02,-3.208112344145774841e-02
3.225000000000000089e+00,-4.470854252576828003e-02,2.127991616725921631e-02,-3.229835629463195801e-02
3.275000000000000355e+00,-2.835075557231903076e-02,2.305644005537033081e-02,-3.236852958798408508e-02
3.325000000000000178e+00,-1.236410439014434814e-02,3.186679631471633911e-02,-3.076294064521789551e-02
3.375000000000000000e+00,-2.135992050170898438e-03,4.112748056650161743e-02,-2.734608575701713562e-02
3.425000000000000266e+00,1.944467425346374512e-03,4.299487918615341187e-02,-2.175189927220344543e-02
3.475000000000000089e+00,2.369113266468048096e-03,4.199108481407165527e-02,-1.444179844111204147e-02
3.525000000000000355e+00,5.550384521484375000e-04,4.600679874420166016e-02,-7.970380596816539764e-03
3.575000000000000178e+00,-4.079855978488922119e-03,4.937287420034408569e-02,-4.344151355326175690e-03
3.625000000000000000e+00,-1.191397011280059814e-02,4.129598289728164673e-02,-2.410079352557659149e-03
3.674999999999999822e+00,-1.910927891731262207e-02,2.392502874135971069e-02,-3.949245437979698181e-04
3.725000000000000089e+00,-1.863639801740646362e-02,7.950335741043090820e-03,1.298481598496437073e-03
3.774999999999999911e+00,-1.036798954010009766e-02,-2.162933349609375000e-03,1.212540082633495331e-03
3.825000000000000178e+00,-4.581674933433532715e-03,-8.406989276409149170e-03,-3.297012299299240112e-04
3.875000000000000000e+00,-9.184986352920532227e-03,-1.139768213033676147e-02,-3.204336389899253845e-04
3.924999999999999822e+00,-2.044758945703506470e-02,-1.114384084939956665e-02,2.505482640117406845e-03
3.975000000000000089e+00,-3.106622397899627686e-02,-1.086401194334030151e-02,4.055607132613658905e-03
4.025000000000000355e+00,-3.801819682121276855e-02,-1.309949904680252075e-02,6.317002698779106140e-04
4.075000000000000178e+00,-3.970652818679809570e-02,-1.693021506071090698e-02,-5.359822884202003479e-03
4.125000000000000000e+00,-3.554303944110870361e-02,-2.008900791406631470e-02,-8.651099167764186859e-03
4.175000000000000711e+00,-2.864956855773925781e-02,-1.988582313060760498e-02,-6.016588769853115082e-03
4.224999999999999645e+00,-2.292363345623016357e-02,-1.632417738437652588e-02,1.330575905740261078e-03
4.275000000000000355e+00,-1.873271167278289795e-02,-1.361487805843353271e-02,8.339384570717811584e-03
4.325000000000000178e+00,-1.439061760902404785e-02,-1.375640183687210083e-02,1.105433516204357147e-02
4.375000000000000000e+00,-1.116249710321426392e-02,-1.451630145311355591e-02,1.056584250181913376e-02
4.425000000000000711e+00,-1.272524148225784302e-02,-1.476785540580749512e-02,1.054688356816768646e-02
4.474999999999999645e+00,-1.886677742004394531e-02,-1.369796693325042725e-02,1.225292123854160309e-02
4.525000000000000355e+00,-2.349051833152770996e-02,-7.306091487407684326e-03,1.313762925565242767e-02
4.575000000000000178e+00,-2.077902853488922119e-02,7.125340402126312256e-03,1.028237026184797287e-02
4.625000000000000000e+00,-1.213711500167846680e-02,2.540192753076553345e-02,3.654795698821544647e-03
4.675000000000000711e+00,-3.983251750469207764e-03,3.959506005048751831e-02,-4.950250498950481415e-03
4.724999999999999645e+00,-1.038610935211181641e-05,4.454115033149719238e-02,-1.434140559285879135e-02
4.775000000000000355e+00,1.202598214149475098e-04,3.916738182306289673e-02,-2.384294196963310242e-02
4.825000000000001066e+00,-2.845108509063720703e-03,2.561264485120773315e-02,-3.161557763814926147e-02
4.875000000000000000e+00,-8.244886994361877441e-03,9.790576994419097900e-03,-3.551090881228446960e-02
4.925000000000000711e+00,-1.414735615253448486e-02,-1.085966825485229492e-03,-3.600332513451576233e-02
4.974999999999999645e+00,-1.832295209169387817e-02,-3.727458417415618896e-03,-3.604312613606452942e-02
5.025000000000000355e+00,-2.024826407432556152e-02,4.439800977706909180e-05,-3.757900744676589966e-02
5.075000000000001066e+00,-2.084638923406600952e-02,5.612201988697052002e-03,-3.978955373167991638e-02
5.125000000000000000e+00,-2.046801894903182983e-02,8.206747472286224365e-03,-4.080842062830924988e-02
5.175000000000000711e+00,-1.751393824815750122e-02,6.077960133552551270e-03,-3.986237198114395142e-02
5.224999999999999645e+00,-1.037150621414184570e-02,1.257218420505523682e-03,-3.727238625288009644e-02
5.275000000000000355e+00,-8.359849452972412109e-04,-4.616841673851013184e-03,-3.338639438152313232e-02
5.325000000000001066e+00,7.562890648841857910e-03,-1.139348000288009644e-02,-2.861493080854415894e-02
5.375000000000000000e+00,1.441490650177001953e-02,-1.630264893174171448e-02,-2.374958246946334839e-02
5.425000000000000711e+00,2.168947458267211914e-02,-1.514952629804611206e-02,-1.998836547136306763e-02
5.474999999999999645e+00,2.987398207187652588e-02,-7.750011980533599854e-03,-1.817312836647033691e-02
5.525000000000000355e+00,3.737042844295501709e-02,9.041503071784973145e-04,-1.716887205839157104e-02
5.575000000000001066e+00,4.215779900550842285e-02,5.486130714416503906e-03,-1.497953664511442184e-02
5.625000000000000000e+00,4.358260333538055420e-02,5.511671304702758789e-03,-1.119487266987562180e-02
5.675000000000000711e+00,4.189865291118621826e-02,3.672957420349121094e-03,-6.336736492812633514e-03
5.724999999999999645e+00,3.655886650085449219e-02,1.502782106399536133e-03,-8.632047101855278015e-04
5.775000000000000355e+00,2.823565900325775146e-02,-1.055896282196044922e-03,4.045255947858095169e-03
5.825000000000001066e+00,2.016438543796539307e-02,-4.001349210739135742e-03,6.752391811460256577e-03
5.875000000000000000e+00,1.332399249076843262e-02,-5.444802343845367432e-03,6.381225772202014923e-03
5.925000000000000711e+00,5.980893969535827637e-03,-3.355503082275390625e-03,3.289722837507724762e-03
5.974999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
