iteration,loss
0.000000000000000000e+00,1.227020263671875000e+00
1.000000000000000000e+00,1.182785153388977051e+00
2.000000000000000000e+00,1.132510423660278320e+00
3.000000000000000000e+00,1.078479409217834473e+00
4.000000000000000000e+00,1.024756789207458496e+00
5.000000000000000000e+00,9.687217473983764648e-01
6.000000000000000000e+00,9.096617698669433594e-01
7.000000000000000000e+00,8.479552865028381348e-01
8.000000000000000000e+00,7.823687195777893066e-01
9.000000000000000000e+00,7.126734852790832520e-01
1.000000000000000000e+01,6.379880309104919434e-01
1.100000000000000000e+01,5.583008527755737305e-01
1.200000000000000000e+01,4.769404232501983643e-01
1.300000000000000000e+01,3.908347785472869873e-01
1.400000000000000000e+01,3.070560991764068604e-01
1.500000000000000000e+01,2.251395136117935181e-01
1.600000000000000000e+01,1.613822430372238159e-01
1.700000000000000000e+01,1.298209428787231445e-01
1.800000000000000000e+01,1.596910953521728516e-01
1.900000000000000000e+01,2.145441323518753052e-01
2.000000000000000000e+01,2.212594598531723022e-01
2.100000000000000000e+01,1.842743605375289917e-01
2.200000000000000000e+01,1.452873647212982178e-01
2.300000000000000000e+01,1.213436052203178406e-01
2.400000000000000000e+01,1.045100688934326172e-01
2.500000000000000000e+01,9.594763815402984619e-02
2.600000000000000000e+01,9.052019566297531128e-02
2.700000000000000000e+01,8.528194576501846313e-02
2.800000000000000000e+01,7.728341966867446899e-02
2.900000000000000000e+01,7.119450718164443970e-02
3.000000000000000000e+01,6.768783181905746460e-02
3.100000000000000000e+01,6.329147517681121826e-02
3.200000000000000000e+01,5.868541821837425232e-02
3.300000000000000000e+01,4.522015526890754700e-02
3.400000000000000000e+01,4.075147211551666260e-02
3.500000000000000000e+01,3.652556240558624268e-02
3.600000000000000000e+01,3.050839528441429138e-02
3.700000000000000000e+01,2.627757936716079712e-02
3.800000000000000000e+01,2.551554888486862183e-02
3.900000000000000000e+01,2.306936495006084442e-02
4.000000000000000000e+01,2.153680846095085144e-02
4.100000000000000000e+01,1.824681647121906281e-02
4.200000000000000000e+01,1.965905539691448212e-02
4.300000000000000000e+01,1.781710796058177948e-02
4.400000000000000000e+01,1.510329544544219971e-02
4.500000000000000000e+01,1.303577143698930740e-02
4.600000000000000000e+01,1.248104032129049301e-02
4.700000000000000000e+01,7.503557484596967697e-03
4.800000000000000000e+01,4.412851762026548386e-03
4.900000000000000000e+01,4.388925153762102127e-03
5.000000000000000000e+01,7.880241610109806061e-03
5.100000000000000000e+01,7.865577004849910736e-03
5.200000000000000000e+01,4.452144261449575424e-03
5.300000000000000000e+01,4.091558512300252914e-03
5.400000000000000000e+01,3.562354249879717827e-03
5.500000000000000000e+01,3.100890899077057838e-03
5.600000000000000000e+01,2.799222711473703384e-03
5.700000000000000000e+01,5.530734546482563019e-03
5.800000000000000000e+01,2.930973423644900322e-03
5.900000000000000000e+01,3.109319135546684265e-03
6.000000000000000000e+01,3.146875416859984398e-03
6.100000000000000000e+01,5.966686177998781204e-03
6.200000000000000000e+01,3.262708429247140884e-03
6.300000000000000000e+01,5.793669726699590683e-03
6.400000000000000000e+01,3.436210798099637032e-03
6.500000000000000000e+01,5.592476110905408859e-03
6.600000000000000000e+01,3.165991744026541710e-03
6.700000000000000000e+01,2.857717219740152359e-03
6.800000000000000000e+01,3.172148019075393677e-03
6.900000000000000000e+01,2.890959382057189941e-03
7.000000000000000000e+01,2.933409996330738068e-03
7.100000000000000000e+01,2.790678758174180984e-03
7.200000000000000000e+01,2.792245708405971527e-03
7.300000000000000000e+01,5.549305118620395660e-03
7.400000000000000000e+01,2.663543215021491051e-03
7.500000000000000000e+01,2.505869837477803230e-03
7.600000000000000000e+01,2.559951273724436760e-03
7.700000000000000000e+01,2.576472470536828041e-03
7.800000000000000000e+01,2.614926313981413841e-03
7.900000000000000000e+01,2.518745837733149529e-03
8.000000000000000000e+01,2.589319134131073952e-03
8.100000000000000000e+01,2.451392123475670815e-03
8.200000000000000000e+01,2.352945972234010696e-03
8.300000000000000000e+01,2.264423063024878502e-03
8.400000000000000000e+01,2.139480784535408020e-03
8.500000000000000000e+01,2.116232644766569138e-03
8.600000000000000000e+01,5.156316328793764114e-03
8.700000000000000000e+01,2.375830197706818581e-03
8.800000000000000000e+01,2.100051380693912506e-03
8.900000000000000000e+01,2.169817220419645309e-03
9.000000000000000000e+01,1.884361729025840759e-03
9.100000000000000000e+01,1.923591364175081253e-03
9.200000000000000000e+01,5.449565593153238297e-03
9.300000000000000000e+01,5.440224893391132355e-03
9.400000000000000000e+01,5.457274150103330612e-03
9.500000000000000000e+01,5.383159965276718140e-03
9.600000000000000000e+01,5.266679916530847549e-03
9.700000000000000000e+01,5.383251700550317764e-03
9.800000000000000000e+01,5.450699012726545334e-03
9.900000000000000000e+01,5.480616353452205658e-03
1.000000000000000000e+02,5.401146598160266876e-03
1.010000000000000000e+02,5.446934606879949570e-03
1.020000000000000000e+02,5.243235267698764801e-03
1.030000000000000000e+02,5.192716605961322784e-03
1.040000000000000000e+02,5.191937088966369629e-03
1.050000000000000000e+02,5.161279812455177307e-03
1.060000000000000000e+02,5.151540040969848633e-03
1.070000000000000000e+02,5.122053902596235275e-03
1.080000000000000000e+02,5.119635723531246185e-03
1.090000000000000000e+02,5.129659082740545273e-03
1.100000000000000000e+02,5.088024772703647614e-03
1.110000000000000000e+02,2.286124043166637421e-03
1.120000000000000000e+02,2.122746082022786140e-03
1.130000000000000000e+02,2.141007687896490097e-03
1.140000000000000000e+02,2.069551730528473854e-03
1.150000000000000000e+02,2.115337876603007317e-03
1.160000000000000000e+02,2.145140198990702629e-03
1.170000000000000000e+02,2.154980087652802467e-03
1.180000000000000000e+02,2.114163246005773544e-03
1.190000000000000000e+02,2.297281054779887199e-03
1.200000000000000000e+02,2.276556799188256264e-03
1.210000000000000000e+02,2.289649564772844315e-03
1.220000000000000000e+02,5.102184601128101349e-03
1.230000000000000000e+02,5.101264920085668564e-03
1.240000000000000000e+02,4.997204057872295380e-03
1.250000000000000000e+02,5.067085847258567810e-03
