y_grid,v_target,iteration_0,iteration_1,iteration_3,iteration_4,iteration_6,iteration_8,iteration_9,iteration_11,iteration_12,iteration_14,iteration_16,iteration_17,iteration_19,iteration_20,iteration_22,iteration_24,iteration_25,iteration_27,iteration_29,iteration_30,iteration_32,iteration_33,iteration_35,iteration_37,iteration_38,iteration_40,iteration_41,iteration_43,iteration_45,iteration_46,iteration_48,iteration_49,iteration_51,iteration_53,iteration_54,iteration_56,iteration_58,iteration_59,iteration_61,iteration_62,iteration_64,iteration_66,iteration_67,iteration_69,iteration_70,iteration_72,iteration_74,iteration_75,iteration_77,iteration_79
3.737373737373737570e-01,7.872353196144104004e-01,3.612349927425384521e-01,4.178293049335479736e-01,4.722553193569183350e-01,4.568782448768615723e-01,4.661537110805511475e-01,5.146294236183166504e-01,5.559521913528442383e-01,6.803700923919677734e-01,7.428690791130065918e-01,7.737016081809997559e-01,7.127778530120849609e-01,6.914622187614440918e-01,6.903156638145446777e-01,7.146033644676208496e-01,7.784457802772521973e-01,8.428559303283691406e-01,8.523262739181518555e-01,8.169027566909790039e-01,7.628740668296813965e-01,7.550668120384216309e-01,7.679497003555297852e-01,7.881399989128112793e-01,8.297443389892578125e-01,8.194149732589721680e-01,8.003331422805786133e-01,7.615754008293151855e-01,7.528231143951416016e-01,7.552720308303833008e-01,7.692557573318481445e-01,7.747709155082702637e-01,7.668702602386474609e-01,7.613772749900817871e-01,7.420841455459594727e-01,7.367911338806152344e-01,7.370825409889221191e-01,7.558797597885131836e-01,7.588576078414916992e-01,7.585673928260803223e-01,7.595551609992980957e-01,7.500280141830444336e-01,7.584183216094970703e-01,7.647115588188171387e-01,7.697256207466125488e-01,7.745792865753173828e-01,7.733247280120849609e-01,7.704114317893981934e-01,7.596012949943542480e-01,7.491073012351989746e-01,7.704249620437622070e-01,7.995687723159790039e-01
3.787878787878788400e-01,7.897999286651611328e-01,3.602980375289916992e-01,4.179787039756774902e-01,4.725558459758758545e-01,4.569918811321258545e-01,4.675529599189758301e-01,5.151240229606628418e-01,5.557578802108764648e-01,6.808702945709228516e-01,7.432640790939331055e-01,7.736823558807373047e-01,7.126908898353576660e-01,6.920065283775329590e-01,6.910166144371032715e-01,7.163327932357788086e-01,7.786473631858825684e-01,8.439131379127502441e-01,8.545259833335876465e-01,8.185443282127380371e-01,7.647230625152587891e-01,7.559517025947570801e-01,7.683766484260559082e-01,7.896311879158020020e-01,8.309410810470581055e-01,8.204107880592346191e-01,8.008424639701843262e-01,7.622073292732238770e-01,7.537571191787719727e-01,7.569640278816223145e-01,7.710993289947509766e-01,7.765182256698608398e-01,7.690246701240539551e-01,7.619453668594360352e-01,7.443164587020874023e-01,7.373944520950317383e-01,7.380156517028808594e-01,7.566184401512145996e-01,7.592285275459289551e-01,7.605983614921569824e-01,7.588108181953430176e-01,7.522782683372497559e-01,7.615922689437866211e-01,7.671605944633483887e-01,7.716808915138244629e-01,7.761985063552856445e-01,7.741651535034179688e-01,7.710984349250793457e-01,7.600418925285339355e-01,7.516016364097595215e-01,7.713628411293029785e-01,8.018234372138977051e-01
3.838383838383838675e-01,7.923645377159118652e-01,3.595397174358367920e-01,4.180330336093902588e-01,4.732631742954254150e-01,4.575071334838867188e-01,4.689554870128631592e-01,5.158792138099670410e-01,5.558210015296936035e-01,6.804013848304748535e-01,7.437182664871215820e-01,7.737930417060852051e-01,7.132984399795532227e-01,6.926484704017639160e-01,6.918400526046752930e-01,7.171537876129150391e-01,7.780967950820922852e-01,8.460413813591003418e-01,8.580788969993591309e-01,8.201261162757873535e-01,7.663043737411499023e-01,7.563744783401489258e-01,7.685437202453613281e-01,7.911942601203918457e-01,8.318978548049926758e-01,8.223572373390197754e-01,8.020367026329040527e-01,7.631447911262512207e-01,7.543876171112060547e-01,7.583337426185607910e-01,7.726655602455139160e-01,7.785483598709106445e-01,7.712383270263671875e-01,7.624738812446594238e-01,7.461652755737304688e-01,7.382473945617675781e-01,7.393114566802978516e-01,7.572235465049743652e-01,7.601048946380615234e-01,7.625965476036071777e-01,7.580912709236145020e-01,7.552756071090698242e-01,7.645922899246215820e-01,7.696076631546020508e-01,7.737125158309936523e-01,7.781043052673339844e-01,7.759602665901184082e-01,7.724916338920593262e-01,7.605649232864379883e-01,7.546285390853881836e-01,7.727498412132263184e-01,8.045824766159057617e-01
3.888888888888888951e-01,7.913528084754943848e-01,3.592056035995483398e-01,4.180835485458374023e-01,4.742932021617889404e-01,4.585751891136169434e-01,4.701404869556427002e-01,5.167949199676513672e-01,5.562220215797424316e-01,6.793365478515625000e-01,7.446748614311218262e-01,7.742121815681457520e-01,7.148464918136596680e-01,6.936704516410827637e-01,6.930022239685058594e-01,7.172650694847106934e-01,7.773925065994262695e-01,8.492731451988220215e-01,8.623966574668884277e-01,8.216058015823364258e-01,7.679555416107177734e-01,7.564771771430969238e-01,7.686444520950317383e-01,7.930734157562255859e-01,8.327882289886474609e-01,8.249569535255432129e-01,8.039492964744567871e-01,7.643516659736633301e-01,7.547615170478820801e-01,7.591581344604492188e-01,7.737768888473510742e-01,7.803294658660888672e-01,7.732248902320861816e-01,7.631015777587890625e-01,7.473798394203186035e-01,7.391506433486938477e-01,7.408090829849243164e-01,7.575807571411132812e-01,7.612071037292480469e-01,7.642781138420104980e-01,7.576059699058532715e-01,7.585057616233825684e-01,7.668798565864562988e-01,7.718039155006408691e-01,7.754744291305541992e-01,7.798890471458435059e-01,7.784135937690734863e-01,7.746236324310302734e-01,7.612907886505126953e-01,7.578713893890380859e-01,7.744188308715820312e-01,8.072060346603393555e-01
3.939393939393939781e-01,7.903410792350769043e-01,3.593818843364715576e-01,4.182555675506591797e-01,4.754281938076019287e-01,4.601977765560150146e-01,4.710966050624847412e-01,5.178395509719848633e-01,5.571620464324951172e-01,6.782294511795043945e-01,7.463198900222778320e-01,7.748822569847106934e-01,7.172788381576538086e-01,6.952484250068664551e-01,6.946229934692382812e-01,7.170330882072448730e-01,7.772082686424255371e-01,8.534297347068786621e-01,8.667922019958496094e-01,8.229869008064270020e-01,7.697813510894775391e-01,7.566121816635131836e-01,7.688214182853698730e-01,7.951195836067199707e-01,8.337701559066772461e-01,8.277754783630371094e-01,8.061988949775695801e-01,7.658497095108032227e-01,7.550926804542541504e-01,7.593626379966735840e-01,7.744604945182800293e-01,7.814567089080810547e-01,7.747389078140258789e-01,7.638687491416931152e-01,7.478457093238830566e-01,7.398141026496887207e-01,7.423732876777648926e-01,7.577354907989501953e-01,7.624506950378417969e-01,7.656543254852294922e-01,7.574820518493652344e-01,7.613918781280517578e-01,7.680136561393737793e-01,7.737132906913757324e-01,7.768593430519104004e-01,7.812734246253967285e-01,7.809181213378906250e-01,7.770869731903076172e-01,7.620630264282226562e-01,7.608456015586853027e-01,7.760901451110839844e-01,8.091517686843872070e-01
3.989898989898990056e-01,7.901742458343505859e-01,3.599596023559570312e-01,4.187235832214355469e-01,4.765029549598693848e-01,4.622006714344024658e-01,4.719724357128143311e-01,5.190351009368896484e-01,5.587853789329528809e-01,6.776484847068786621e-01,7.484866976737976074e-01,7.758122682571411133e-01,7.202408909797668457e-01,6.973471045494079590e-01,6.965470910072326660e-01,7.167636752128601074e-01,7.777916789054870605e-01,8.578835725784301758e-01,8.706352710723876953e-01,8.242104649543762207e-01,7.717100977897644043e-01,7.571509480476379395e-01,7.692389488220214844e-01,7.970846295356750488e-01,8.348795175552368164e-01,8.303065896034240723e-01,8.084424734115600586e-01,7.676255106925964355e-01,7.556648850440979004e-01,7.591760754585266113e-01,7.749935388565063477e-01,7.818932533264160156e-01,7.757374644279479980e-01,7.646963000297546387e-01,7.475911974906921387e-01,7.399424910545349121e-01,7.439087033271789551e-01,7.577887177467346191e-01,7.637708783149719238e-01,7.668600678443908691e-01,7.577104568481445312e-01,7.634553909301757812e-01,7.679372429847717285e-01,7.752988934516906738e-01,7.779908776283264160e-01,7.822652459144592285e-01,7.829786539077758789e-01,7.792657613754272461e-01,7.626690864562988281e-01,7.632240653038024902e-01,7.775365114212036133e-01,8.101791143417358398e-01
4.040404040404040886e-01,7.900073528289794922e-01,3.608247041702270508e-01,4.196909666061401367e-01,4.774602651596069336e-01,4.642466306686401367e-01,4.728520512580871582e-01,5.204001069068908691e-01,5.608824491500854492e-01,6.779558062553405762e-01,7.507842183113098145e-01,7.771157622337341309e-01,7.232989072799682617e-01,6.997492909431457520e-01,6.985422968864440918e-01,7.167723774909973145e-01,7.790369987487792969e-01,8.620057702064514160e-01,8.736821413040161133e-01,8.252939581871032715e-01,7.734482288360595703e-01,7.583767175674438477e-01,7.699973583221435547e-01,7.985221743583679199e-01,8.360930681228637695e-01,8.324444890022277832e-01,8.104546666145324707e-01,7.695978283882141113e-01,7.567381858825683594e-01,7.589644193649291992e-01,7.758070826530456543e-01,7.818062901496887207e-01,7.763720750808715820e-01,7.654551267623901367e-01,7.468273639678955078e-01,7.393600344657897949e-01,7.453863620758056641e-01,7.579305768013000488e-01,7.652532458305358887e-01,7.679738998413085938e-01,7.581357955932617188e-01,7.645744681358337402e-01,7.670386433601379395e-01,7.765969634056091309e-01,7.790694236755371094e-01,7.831271886825561523e-01,7.843655943870544434e-01,7.806686162948608398e-01,7.629641890525817871e-01,7.647866606712341309e-01,7.786009907722473145e-01,8.104180097579956055e-01
4.090909090909091161e-01,7.897049188613891602e-01,3.618761003017425537e-01,4.212582409381866455e-01,4.785406291484832764e-01,4.660511314868927002e-01,4.739201664924621582e-01,5.218173265457153320e-01,5.630168914794921875e-01,6.792215704917907715e-01,7.527958750724792480e-01,7.789496779441833496e-01,7.262146472930908203e-01,7.021672129631042480e-01,7.003241777420043945e-01,7.174102663993835449e-01,7.807145118713378906e-01,8.652502298355102539e-01,8.761031627655029297e-01,8.261829614639282227e-01,7.748351097106933594e-01,7.602660059928894043e-01,7.711351513862609863e-01,7.993217706680297852e-01,8.373518586158752441e-01,8.343360424041748047e-01,8.124333024024963379e-01,7.715378999710083008e-01,7.584174871444702148e-01,7.591336369514465332e-01,7.772283554077148438e-01,7.816796898841857910e-01,7.769513130187988281e-01,7.660543918609619141e-01,7.460289001464843750e-01,7.382424473762512207e-01,7.468595504760742188e-01,7.583911418914794922e-01,7.669519186019897461e-01,7.690091729164123535e-01,7.586864829063415527e-01,7.649955749511718750e-01,7.660131454467773438e-01,7.776974439620971680e-01,7.802953124046325684e-01,7.842457294464111328e-01,7.852880954742431641e-01,7.813350558280944824e-01,7.631393074989318848e-01,7.656525969505310059e-01,7.792968153953552246e-01,8.104090690612792969e-01
4.141414141414141992e-01,7.894025444984436035e-01,3.630108535289764404e-01,4.232819080352783203e-01,4.799861907958984375e-01,4.674536287784576416e-01,4.752887785434722900e-01,5.233308672904968262e-01,5.647332072257995605e-01,6.812613606452941895e-01,7.543399333953857422e-01,7.815071344375610352e-01,7.290128469467163086e-01,7.044478058815002441e-01,7.017164826393127441e-01,7.188174724578857422e-01,7.827484011650085449e-01,8.673498034477233887e-01,8.783575892448425293e-01,8.271076679229736328e-01,7.760710120201110840e-01,7.626469731330871582e-01,7.726837396621704102e-01,7.996644377708435059e-01,8.386047482490539551e-01,8.362880349159240723e-01,8.147342205047607422e-01,7.733461856842041016e-01,7.606794238090515137e-01,7.600221037864685059e-01,7.794321775436401367e-01,7.821401357650756836e-01,7.778453230857849121e-01,7.666589021682739258e-01,7.455619573593139648e-01,7.370671033859252930e-01,7.482918500900268555e-01,7.593256235122680664e-01,7.688686251640319824e-01,7.698950767517089844e-01,7.596007585525512695e-01,7.652240395545959473e-01,7.655360698699951172e-01,7.788037061691284180e-01,7.820492386817932129e-01,7.860714793205261230e-01,7.862288951873779297e-01,7.817700505256652832e-01,7.636405229568481445e-01,7.661362886428833008e-01,7.797621488571166992e-01,8.107643127441406250e-01
4.191919191919192267e-01,7.902978658676147461e-01,3.641417622566223145e-01,4.253311753273010254e-01,4.818265140056610107e-01,4.684376418590545654e-01,4.768993556499481201e-01,5.249822735786437988e-01,5.660858154296875000e-01,6.838144063949584961e-01,7.555662393569946289e-01,7.847641706466674805e-01,7.318625450134277344e-01,7.065989971160888672e-01,7.028348445892333984e-01,7.210406661033630371e-01,7.853358983993530273e-01,8.685305118560791016e-01,8.809905052185058594e-01,8.284747004508972168e-01,7.775390744209289551e-01,7.653272151947021484e-01,7.747608423233032227e-01,7.999627590179443359e-01,8.399473428726196289e-01,8.386784791946411133e-01,8.176409602165222168e-01,7.749247550964355469e-01,7.634493708610534668e-01,7.619402408599853516e-01,7.823601365089416504e-01,7.836665511131286621e-01,7.792676687240600586e-01,7.675840258598327637e-01,7.457727193832397461e-01,7.365326285362243652e-01,7.497981190681457520e-01,7.609044313430786133e-01,7.710000276565551758e-01,7.708407640457153320e-01,7.612581849098205566e-01,7.658129930496215820e-01,7.661268711090087891e-01,7.802282571792602539e-01,7.847195267677307129e-01,7.888305783271789551e-01,7.877160310745239258e-01,7.828577756881713867e-01,7.650585174560546875e-01,7.666671276092529297e-01,7.802679538726806641e-01,8.119826316833496094e-01
