lag_index,original_kernel,snapshot_step_0,snapshot_step_1,snapshot_step_3,snapshot_step_4,snapshot_step_6,snapshot_step_7,snapshot_step_9,snapshot_step_10,snapshot_step_12,snapshot_step_13,snapshot_step_15,snapshot_step_16,snapshot_step_18,snapshot_step_19,snapshot_step_21,snapshot_step_22,snapshot_step_24,snapshot_step_25,snapshot_step_27,snapshot_step_28,snapshot_step_30,snapshot_step_31,snapshot_step_33,snapshot_step_34,snapshot_step_36,snapshot_step_37,snapshot_step_39,snapshot_step_40,snapshot_step_42,snapshot_step_43,snapshot_step_45,snapshot_step_46,snapshot_step_48,snapshot_step_49,snapshot_step_51,snapshot_step_52,snapshot_step_54,snapshot_step_55,snapshot_step_57,snapshot_step_58,snapshot_step_60,snapshot_step_61,snapshot_step_63,snapshot_step_64,snapshot_step_66,snapshot_step_67,snapshot_step_69,snapshot_step_70,snapshot_step_72,snapshot_step_73,snapshot_step_75,snapshot_step_76,snapshot_step_78,snapshot_step_79,snapshot_step_81,snapshot_step_82,snapshot_step_84,snapshot_step_85,snapshot_step_87,snapshot_step_88,snapshot_step_90,snapshot_step_91,snapshot_step_93,snapshot_step_94,snapshot_step_96,snapshot_step_97,snapshot_step_99,snapshot_step_100,snapshot_step_102,snapshot_step_103,snapshot_step_105,snapshot_step_106,snapshot_step_108,snapshot_step_109,snapshot_step_111,snapshot_step_112,snapshot_step_114,snapshot_step_115,snapshot_step_117,snapshot_step_118,snapshot_step_120,snapshot_step_121,snapshot_step_123,snapshot_step_124,snapshot_step_126,snapshot_step_127,snapshot_step_129,snapshot_step_130,snapshot_step_132,snapshot_step_133,snapshot_step_135,snapshot_step_136,snapshot_step_138,snapshot_step_139,snapshot_step_141,snapshot_step_142,snapshot_step_144,snapshot_step_145,snapshot_step_147,snapshot_step_149
0.000000000000000000e+00,1.548772747380789960e-01,3.850815243899852192e-07,8.133604694482432507e-07,1.865365289704934426e-06,2.572532794953286128e-06,4.571414901594073044e-06,6.007887098868902598e-06,1.038401383435250125e-05,1.377577859534850901e-05,2.510700280089483982e-05,3.464421477500367885e-05,6.989720376110453159e-05,1.024865924551809915e-04,2.311923107759517038e-04,3.525130783071095397e-04,8.241610032544421927e-04,1.247205990550420696e-03,2.779804971071692110e-03,4.084896858422421007e-03,8.581984590485813857e-03,1.227548834085462337e-02,2.452647509648267499e-02,3.432932441626726505e-02,6.409484102705814701e-02,8.732002798610544181e-02,1.413862118432774873e-01,1.568339826071895593e-01,1.491868156101766596e-01,1.348012742919145746e-01,1.032494937049492911e-01,9.016491839415413656e-02,7.286674681290294942e-02,6.840419340204861864e-02,6.630157067452885356e-02,6.812578736562271975e-02,7.659782221853467243e-02,8.288286979607370486e-02,9.764039994879619710e-02,1.048334674719310078e-01,1.146767128091970567e-01,1.160877370818083065e-01,1.119030733343969741e-01,1.074089925452902938e-01,9.723886207544740756e-02,9.277581957631980680e-02,8.675538701671398067e-02,8.542115706083558413e-02,8.599165717605997128e-02,8.766669195849097207e-02,9.283289199638636302e-02,9.578704207665428294e-02,1.009401710675987829e-01,1.025878163955170064e-01,1.032685701598837769e-01,1.023571548809565357e-01,9.899759478318753692e-02,9.705480432121960099e-02,9.376811983870997347e-02,9.271060354195451159e-02,9.209328444650377588e-02,9.249903756201643956e-02,9.432772620684093390e-02,9.547517137717631552e-02,9.767938239161072511e-02,9.847149875020577703e-02,9.904690424570167240e-02,9.882791876612823101e-02,9.767383916701560809e-02,9.691265229592987973e-02,9.553565085754756048e-02,9.506307603276120677e-02,9.472920536838252970e-02,9.484849625056646083e-02,9.556751698493665126e-02,9.604705138618896409e-02,9.694443438354893861e-02,9.728074754965176929e-02,9.752855645476332658e-02,9.743460488100003092e-02,9.693133964433914285e-02,9.661963663050060491e-02,9.607618544330909227e-02,9.590054372672024430e-02,9.578886113407036884e-02,9.585557818705020550e-02,9.614470535617136715e-02,9.632918956257557896e-02,9.668081865307609490e-02,9.680240778685028635e-02,9.686475760133578250e-02,9.680783684110277898e-02,9.658893409844515610e-02,9.646929375709578647e-02,9.628053821295290415e-02,9.623445072244668497e-02,9.624064320249436921e-02,9.628495398485248380e-02,9.643103040132594561e-02,9.650631493204619993e-02,9.660006944871379897e-02,9.662134928936061407e-02
1.000000000000000000e+00,1.434161129260415335e-01,3.864044868517879650e-07,8.156150708149567663e-07,1.870429694739161874e-06,2.578429993821407251e-06,4.579300710905176430e-06,6.016246220486021201e-06,1.038968708683141173e-05,1.377658125381597820e-05,2.507609664473275934e-05,3.457246978677552818e-05,6.959861019831259377e-05,1.018975936959432005e-04,2.289202964108616456e-04,3.480817645920841752e-04,8.082065960501871871e-04,1.217584316987957438e-03,2.683745727935671344e-03,3.916571329518336864e-03,8.088390558114222362e-03,1.144864384287175296e-02,2.229376450692890921e-02,3.071953045263869919e-02,5.545260556026446186e-02,7.391049549789027728e-02,1.151328981076424063e-01,1.264412573557755770e-01,1.208211575608837685e-01,1.101917817121852161e-01,8.633063346141317540e-02,7.618512385229012085e-02,6.251191980209183652e-02,5.893029462463011958e-02,5.722721717775983152e-02,5.869067586696802286e-02,6.544843482718018524e-02,7.041177604406223534e-02,8.190586099395943953e-02,8.743149296815236338e-02,9.491607328496651230e-02,9.598132894180697039e-02,9.281196068658159604e-02,8.939242953097800704e-02,8.158717218018526895e-02,7.813131329898323485e-02,7.343829729701126241e-02,7.239305278002350352e-02,7.283913171324749025e-02,7.414907891041097598e-02,7.817190429637863036e-02,8.046047593173275003e-02,8.443247012245067018e-02,8.569704392589097552e-02,8.621805163367593505e-02,8.551870057124741353e-02,8.293503742842758819e-02,8.143623274658393085e-02,7.889245918173307115e-02,7.807169930597371299e-02,7.759179242875982596e-02,7.790679231349059708e-02,7.932498423176367885e-02,8.021325765860781720e-02,8.191607453364915803e-02,8.252684652490657746e-02,8.296998233513816490e-02,8.280114075160585618e-02,8.191101744421389053e-02,8.132328631113147632e-02,8.025867516788556810e-02,7.989287639006795172e-02,7.963423708185382588e-02,7.972655937413131166e-02,8.028297423154109880e-02,8.065380827185228418e-02,8.134718656557507477e-02,8.160684131834186616e-02,8.179805793231473277e-02,8.172551464041641345e-02,8.133688845211486940e-02,8.109607708201085896e-02,8.067600325562065966e-02,8.054017198239332709e-02,8.045376870564177607e-02,8.050535491006052813e-02,8.072889508625194499e-02,8.087149286749004129e-02,8.114319756458829302e-02,8.123712075018932333e-02,8.128526840432859224e-02,8.124129444702143932e-02,8.107216585035847967e-02,8.097971122502012342e-02,8.083381780673012940e-02,8.079818904760496800e-02,8.080296982876508660e-02,8.083721886833186709e-02,8.095011628873757803e-02,8.100829354299729501e-02,8.108073521754102786e-02,8.109717430692434115e-02
2.000000000000000000e+00,1.249148641315298291e-01,3.877878383129473860e-07,8.178591450747063618e-07,1.875487632196914944e-06,2.584404800193285112e-06,4.587169431330417879e-06,6.024581987812416273e-06,1.039531921329106545e-05,1.377733214320830957e-05,2.504515438239707237e-05,3.450078367210618335e-05,6.930115116933477371e-05,1.013117999776325107e-04,2.266703036306327856e-04,3.437057553495048712e-04,7.925603502799694056e-04,1.188665266008998023e-03,2.591004409706942901e-03,3.755180031925181572e-03,7.623182597353200807e-03,1.067748959434319800e-02,2.026429773509408339e-02,2.748930614101444125e-02,4.797563712266103564e-02,6.256022198825250680e-02,9.375441922205121625e-02,1.019382975203289299e-01,9.784879351275355130e-02,9.007501548159049798e-02,7.218415067892833270e-02,6.437284225867037635e-02,5.362856925179229628e-02,5.076850968227150651e-02,4.939481401966500096e-02,5.056227472339985818e-02,5.592191420326605988e-02,5.981715332949025243e-02,6.870689751428799008e-02,7.291817119645790934e-02,7.856049708934983999e-02,7.935734048365514215e-02,7.697785631396988903e-02,7.439791589570157737e-02,6.845478688553904845e-02,6.579840671480027825e-02,6.216539153659469963e-02,6.135193417065945565e-02,6.169829015004993367e-02,6.271578019428769579e-02,6.582629805856241023e-02,6.758625170015991612e-02,7.062441837952468382e-02,7.158727448852295061e-02,7.198270721475594214e-02,7.145027618995106189e-02,6.947865092291302669e-02,6.833107315274758453e-02,6.637670790006736099e-02,6.574425149211135522e-02,6.537377075439518292e-02,6.561654537295605327e-02,6.670840433640426448e-02,6.739098311078409176e-02,6.869660744643432682e-02,6.916396511922429102e-02,6.950259494664548510e-02,6.937339060602656926e-02,6.869202395569920516e-02,6.824161421404281724e-02,6.742460891800819422e-02,6.714353173957879339e-02,6.694462031565176496e-02,6.701554046214611149e-02,6.744294621737598194e-02,6.772759437753636536e-02,6.825934606658751180e-02,6.845830902562519138e-02,6.860473945895700920e-02,6.854914305729922774e-02,6.825128365393229313e-02,6.806662586017261929e-02,6.774432622983905805e-02,6.764005710609574673e-02,6.757370090225009451e-02,6.761329120081580046e-02,6.778483978776214669e-02,6.789424194674320567e-02,6.810262408746867169e-02,6.817463402839610276e-02,6.821153491003686953e-02,6.817781571061393153e-02,6.804811624393300451e-02,6.797720099771151214e-02,6.786527337088796297e-02,6.783793381727587501e-02,6.784159645511020353e-02,6.786787165344701500e-02,6.795447733244605604e-02,6.799910004335266156e-02,6.805465669429758280e-02,6.806726120203224206e-02
3.000000000000000000e+00,1.041195478148135428e-01,3.892252809917229328e-07,8.200785044376601718e-07,1.880539107532164245e-06,2.590493218129763520e-06,4.595021086004069666e-06,6.032894439289560040e-06,1.040091032511458735e-05,1.377803145542755292e-05,2.501417649794501763e-05,3.442915697432491484e-05,6.900482345371938830e-05,1.007291954668448897e-04,2.244421229019438746e-04,3.393843665735196691e-04,7.772163294681722068e-04,1.160432196489064038e-03,2.501466474432043063e-03,3.600437400006595290e-03,7.184728464348810739e-03,9.958275013406861498e-03,1.841957413614427053e-02,2.459874069196148205e-02,4.150681986870725926e-02,5.295297604695649307e-02,7.634559744430745309e-02,8.218373755391765456e-02,7.924427546187783056e-02,7.363078390364689862e-02,6.035575766287730459e-02,5.439201154611754407e-02,4.600759240525971461e-02,4.373711555432961695e-02,4.263438493112130245e-02,4.355961362917452895e-02,4.778204341130852517e-02,5.081665941897432759e-02,5.763491139965980226e-02,6.081400098985699498e-02,6.502324220600862181e-02,6.561262139357475209e-02,6.384510649992043707e-02,6.191854405175538367e-02,5.743620004317649685e-02,5.541222182041403987e-02,5.262288808170818843e-02,5.199475763828402541e-02,5.226144685033697057e-02,5.304541244999443073e-02,5.543041193920596188e-02,5.677198251588770617e-02,5.907452109947917973e-02,5.980062887815111583e-02,6.009773226103969079e-02,5.969619729388407625e-02,5.820558318510314633e-02,5.733485826884655856e-02,5.584648688230624269e-02,5.536328769277844286e-02,5.507965623508077890e-02,5.526514757106464060e-02,5.609847367365079773e-02,5.661837029276066413e-02,5.761046535655532652e-02,5.796481465738435868e-02,5.822117656440646549e-02,5.812319213645218696e-02,5.760633431320345832e-02,5.726425269569128396e-02,5.664281397542804408e-02,5.642872534180894128e-02,5.627706977158510038e-02,5.633106489042490062e-02,5.665647489414525617e-02,5.687302873224285571e-02,5.727718227081544933e-02,5.742826584762629472e-02,5.753938047519978338e-02,5.749715173671425539e-02,5.727090273447656144e-02,5.713056700721290404e-02,5.688547853110732799e-02,5.680614442682795084e-02,5.675563052683975374e-02,5.678574386781330696e-02,5.691622329723038110e-02,5.699941028137563148e-02,5.715780072792799038e-02,5.721251553572344328e-02,5.724054178122110759e-02,5.721491631508250630e-02,5.711634055740420768e-02,5.706243078400964619e-02,5.697732418974400803e-02,5.695653123213688385e-02,5.695931142961734028e-02,5.697928974022896387e-02,5.704513486574892822e-02,5.707905592547156404e-02,5.712128282187971251e-02,5.713086056244025268e-02
4.000000000000000000e+00,8.374459548739297821e-02,3.906667621067505536e-07,8.222950714370513836e-07,1.885584127572781377e-06,2.596572808363784013e-06,4.602855700211461176e-06,6.041183615579370780e-06,1.040646053497573664e-05,1.377867938200105780e-05,2.498316346420670353e-05,3.435759021198914187e-05,6.870962374877498391e-05,1.001497642326015791e-04,2.222355460239494596e-04,3.351422523096697637e-04,7.621687069984117713e-04,1.132868853172722123e-03,2.415021308357925833e-03,3.452069583480502080e-03,6.771489646192979661e-03,9.287501904605588443e-03,1.674277660435130599e-02,2.201211903410228710e-02,3.591022053059862718e-02,4.482108599567043161e-02,6.216932738862991636e-02,6.625738976950985848e-02,6.417712308147431599e-02,6.018862517425148384e-02,5.046560417839156265e-02,4.595867176371794260e-02,3.946959882191899971e-02,3.767955532152816867e-02,3.679921518964453242e-02,3.752678353849787929e-02,4.082698599546860652e-02,4.317043218050166387e-02,4.834714564223964450e-02,5.071907270833338199e-02,5.381866731970615103e-02,5.424848261925603599e-02,5.295285003975304383e-02,5.153243001534578427e-02,4.819117272178947975e-02,4.666547262648419736e-02,4.454516816934996071e-02,4.406469559285057513e-02,4.426797400300659657e-02,4.486614433526324441e-02,4.667632969312092428e-02,4.768806253762332414e-02,4.941348162776122710e-02,4.995461250968698252e-02,5.017506149556179296e-02,4.987573886784400778e-02,4.876158709095058941e-02,4.810820628411423272e-02,4.698680626122224424e-02,4.662146089669556848e-02,4.640650106453973744e-02,4.654673522632314653e-02,4.717603715596656311e-02,4.756777702846277933e-02,4.831337714762658220e-02,4.857904129284480732e-02,4.877090959991227381e-02,4.869741569512119062e-02,4.830967189265751582e-02,4.805270313101826785e-02,4.758511513940962001e-02,4.742378556242983489e-02,4.730937269220779340e-02,4.735003640972824945e-02,4.759512641144823808e-02,4.775809367409671047e-02,4.806191664597293800e-02,4.817538081976303899e-02,4.825876052987672360e-02,4.822703389804346152e-02,4.805705499790995094e-02,4.795156275332103368e-02,4.776720423747345123e-02,4.770749143898268818e-02,4.766944765623916391e-02,4.769210388084650643e-02,4.779027114692908917e-02,4.785283812653533253e-02,4.797191917526912042e-02,4.801303848378397909e-02,4.803409013617422618e-02,4.801482722902288003e-02,4.794072097496775153e-02,4.790018352071691299e-02,4.783617169956562443e-02,4.782052850692784796e-02,4.782261512073500420e-02,4.783764066492203482e-02,4.788715822629426022e-02,4.791266382938712265e-02,4.794440975347426248e-02,4.795160795009249799e-02
5.000000000000000000e+00,6.521138079489896544e-02,3.921065732520601088e-07,8.245088475855588683e-07,1.890578503083162332e-06,2.602636991033691061e-06,4.610673294325184912e-06,6.049449552111840767e-06,1.041196995180126983e-05,1.377927611352636195e-05,2.495211577099865075e-05,3.428608394380472379e-05,6.841554893685652949e-05,9.957120246568973432e-05,2.200503681084459151e-04,3.309693172199035249e-04,7.474117775579797174e-04,1.105995448796262548e-03,2.331562167977196953e-03,3.309814098059818410e-03,6.382016340799864795e-03,8.661908060148756916e-03,1.521861981651727314e-02,1.969748293928741401e-02,3.106823725911976586e-02,3.793798994187307094e-02,5.062538014364088845e-02,5.341739668527145657e-02,5.197476695842501160e-02,4.920048449384656353e-02,4.219608866164836769e-02,3.883289432438676025e-02,3.386069390027038328e-02,3.246095809437274382e-02,3.176267313612196608e-02,3.232947117519574531e-02,3.488428784337088695e-02,3.667470456752561225e-02,4.055608246183664556e-02,4.229986532955243295e-02,4.454482052427997940e-02,4.485261379285103434e-02,4.391885596125053026e-02,4.288846097402747304e-02,4.043423594822409539e-02,3.929938214648051598e-02,3.770739004202319777e-02,3.734409482602990549e-02,3.749711119176646346e-02,3.794806322341479077e-02,3.930476835568819105e-02,4.005762965570798528e-02,4.133240276249439127e-02,4.172971233767175381e-02,4.189070752153228883e-02,4.167081272976251582e-02,4.084989759270202248e-02,4.036635516858597117e-02,3.953265161262763117e-02,3.925995828593845105e-02,3.909906558704878687e-02,3.920370080006760349e-02,3.967270555238225360e-02,3.996394003873668388e-02,4.051663420600759569e-02,4.071302574328972135e-02,4.085457390173721781e-02,4.080020291445636549e-02,4.051332490107928397e-02,4.032292243366084050e-02,3.997581984461640037e-02,3.985585654328185901e-02,3.977066502142143078e-02,3.980087537633002215e-02,3.998299940978543299e-02,4.010398787328939285e-02,4.032928090397902565e-02,4.041332301686147155e-02,4.047502230740113172e-02,4.045150879546445533e-02,4.032554344968597437e-02,4.024731825857758016e-02,4.011050979575017661e-02,4.006616724121576933e-02,4.003789513938403599e-02,4.005471023679726961e-02,4.012757043699406723e-02,4.017399211987096597e-02,4.026230439408147455e-02,4.029278532282168368e-02,4.030838082780074938e-02,4.029409678663073424e-02,4.023914080270404869e-02,4.020907087638060651e-02,4.016157477081441773e-02,4.014996419405408856e-02,4.015150819908210045e-02,4.016265589881634623e-02,4.019939072660203006e-02,4.021830880684405807e-02,4.024185129006610517e-02,4.024718732624431305e-02
6.000000000000000000e+00,4.914074712096036524e-02,3.935447165925864965e-07,8.267198365816130767e-07,1.895556593120573119e-06,2.608637790404988444e-06,4.618473896281227731e-06,6.057692292324445837e-06,1.041743868968741937e-05,1.377982184064263649e-05,2.492103387531641179e-05,3.421463865406482174e-05,6.812259561385369810e-05,9.899158718253836531e-05,2.178863840480230185e-04,3.268479616060707138e-04,7.329399311512413417e-04,1.079822306431145462e-03,2.250985912552509738e-03,3.173419129110358061e-03,6.014941730226458505e-03,8.078450361051488227e-03,1.383320834298749913e-02,1.762623226517440189e-02,2.687912010862220091e-02,3.211191154481074506e-02,4.122496865838606861e-02,4.306565175108344190e-02,4.209250440630765699e-02,4.021834950220845584e-02,3.528164455619153816e-02,3.281194357828995378e-02,2.904884671760050996e-02,2.796512711573537202e-02,2.741545339534999515e-02,2.785195974202440972e-02,2.980659078271422069e-02,3.115636303820820685e-02,3.402052903874805412e-02,3.527821257178512249e-02,3.686900329182007940e-02,3.708410723292129840e-02,3.642609428046655884e-02,3.569441030008138616e-02,3.392586233309979882e-02,3.309601343512212634e-02,3.191921857323630485e-02,3.164849093691603221e-02,3.176185669903450193e-02,3.209670044979162640e-02,3.309738573977392961e-02,3.364811381484110464e-02,3.457289599926946511e-02,3.485901384137105041e-02,3.497416762729392559e-02,3.481565007861939232e-02,3.422189235121675388e-02,3.387036045975498622e-02,3.326104365664064866e-02,3.306082584780199729e-02,3.294229411806479102e-02,3.301906835616545688e-02,3.336276910153512798e-02,3.357558977530329669e-02,3.397811125342849181e-02,3.412068403323988142e-02,3.422318496173645808e-02,3.418366634515676572e-02,3.397516660167791691e-02,3.383655084943865132e-02,3.358331343997628116e-02,3.349561719513227676e-02,3.343323688002353133e-02,3.345529313195594323e-02,3.358831096398458282e-02,3.367658510388620019e-02,3.384073443263829750e-02,3.390188738567409543e-02,3.394672946262144997e-02,3.392960522450394478e-02,3.383788527944446567e-02,3.378088626409267436e-02,3.368111415255428676e-02,3.364874933138541080e-02,3.362809492641537223e-02,3.364035857158984011e-02,3.369350147795535655e-02,3.372734758661032062e-02,3.379170238176940066e-02,3.381390264426464842e-02,3.382525244038743495e-02,3.381484406810648935e-02,3.377479688019474624e-02,3.375287781877517324e-02,3.371824484706550940e-02,3.370977563672393484e-02,3.371089741918466276e-02,3.371902477319083102e-02,3.374580442692812210e-02,3.375959287163091127e-02,3.377674820107295917e-02,3.378063463315503223e-02
7.000000000000000000e+00,3.567705621413261308e-02,3.949805064476508143e-07,8.289280402640208933e-07,1.900528238965581984e-06,2.614629794395195717e-06,4.626196975915375376e-06,6.065887602803299306e-06,1.042277192239704497e-05,1.378031675296903513e-05,2.488991825762287835e-05,3.414325488210884219e-05,6.783076062188975186e-05,9.841516959036705758e-05,2.157435459197790117e-04,3.227775545987451866e-04,7.187476778073020878e-04,1.054267755353034686e-03,2.173193029115311203e-03,3.042643346305620722e-03,5.668977900794798519e-03,7.534291129793875552e-03,1.257391280758380497e-02,1.577277590809356145e-02,2.325484206575738344e-02,2.718052998651321328e-02,3.357007442419313037e-02,3.471996391881621014e-02,3.408920837987819419e-02,3.287600524235428923e-02,2.950022791296681712e-02,2.772452247903055278e-02,2.492079279481647369e-02,2.409196248049177980e-02,2.366321426918276821e-02,2.399456241985269134e-02,2.546798997816068777e-02,2.646834647123021828e-02,2.853816578534151827e-02,2.942212870886187770e-02,3.051585294496261813e-02,3.066110713859433734e-02,3.021162798838092356e-02,2.970707498149000036e-02,2.846508463372954267e-02,2.787183577269250478e-02,2.701954026372105355e-02,2.682155812326747490e-02,2.690381577807336722e-02,2.714757804663558982e-02,2.787032743199321927e-02,2.826416315266588875e-02,2.891883529162447841e-02,2.911955500609406111e-02,2.919960727932532918e-02,2.908820873200587687e-02,2.866929412411245437e-02,2.841973540890517513e-02,2.798438253791478425e-02,2.784052952026379313e-02,2.775499998016672798e-02,2.781009637172579541e-02,2.805642232657200308e-02,2.820843104452372407e-02,2.849476226326300154e-02,2.859578406729061661e-02,2.866817813270632065e-02,2.864012369697237215e-02,2.849215075692981824e-02,2.839357666757333365e-02,2.821302387595242545e-02,2.815034696003626546e-02,2.810566901397473782e-02,2.812140303648848205e-02,2.821635365480865132e-02,2.827928746855781772e-02,2.839612057227780539e-02,2.843957631424891275e-02,2.847139274830490230e-02,2.845920858095113415e-02,2.839397063169855906e-02,2.835339453235392881e-02,2.828229493369491254e-02,2.825920788538205386e-02,2.824445646493004003e-02,2.825319508926897594e-02,2.829106887903987122e-02,2.831517935567900990e-02,2.836099382869684826e-02,2.837678803533137672e-02,2.838485435278154112e-02,2.837744451307425142e-02,2.834893335851784713e-02,2.833332263359236713e-02,2.830864723821417683e-02,2.830261031372427460e-02,2.830340560010871642e-02,2.830919478198067052e-02,2.832826848317349100e-02,2.833808684423144708e-02,2.835029948108624964e-02,2.835306436813284092e-02
8.000000000000000000e+00,2.469777900530012796e-02,3.962454784324498380e-07,8.311334610926202071e-07,1.905493446436451466e-06,2.620595961524974093e-06,4.633901289314429350e-06,6.074030368032751204e-06,1.042845059734051616e-05,1.378076103975695021e-05,2.485876938724748686e-05,3.407193314272638496e-05,6.754004072160452177e-05,9.784193359699613901e-05,2.136215804221068548e-04,3.187574718220773096e-04,7.048296290010358511e-04,1.029317195481414121e-03,2.098087415999292521e-03,2.917255316941473609e-03,5.342910885718064190e-03,7.026783623173837173e-03,1.142925302971343690e-02,1.411421298097725527e-02,2.011924375939070850e-02,2.300644959857766833e-02,2.733658169103607080e-02,2.799158184714068895e-02,2.760762207248680308e-02,2.687409022984743254e-02,2.466617730393467003e-02,2.342589092565846784e-02,2.137936154943305064e-02,2.075522640926312154e-02,2.042452458379869287e-02,2.067139697821605490e-02,2.176090519339023491e-02,2.248571956494404764e-02,2.393927416730831301e-02,2.453813431967133765e-02,2.525745350502773753e-02,2.535057241735978392e-02,2.505737553704093581e-02,2.472404383902702604e-02,2.388328125420017753e-02,2.347228626812881622e-02,2.287197075539802379e-02,2.273081078545731784e-02,2.278881832817685263e-02,2.296157738170951854e-02,2.346877274183360382e-02,2.374168115211082800e-02,2.418943734870432002e-02,2.432508141530181564e-02,2.437847670806530739e-02,2.430297155531311107e-02,2.401761673353919671e-02,2.384625436678057195e-02,2.354482760778623188e-02,2.344451289062442559e-02,2.338452493547607883e-02,2.342286965477989244e-02,2.359404592470522657e-02,2.369922491375029902e-02,2.389630607836033468e-02,2.396548483842599400e-02,2.401483986397273326e-02,2.399556988149887868e-02,2.389399688204734903e-02,2.382615977144224642e-02,2.370149060470362265e-02,2.365807745755508715e-02,2.362704233359614811e-02,2.363790919187317915e-02,2.370355824593196534e-02,2.374700310727346012e-02,2.382748329090894970e-02,2.385735526076218291e-02,2.387918035440549439e-02,2.387078829887628525e-02,2.382588132460432620e-02,2.379792069905320787e-02,2.374886039882282904e-02,2.373290888021994602e-02,2.372269955639153341e-02,2.372872758167022741e-02,2.375486116106355003e-02,2.377148843572942857e-02,2.380305770847530519e-02,2.381393175731695219e-02,2.381947714413347808e-02,2.381437058483334632e-02,2.379472173875895810e-02,2.378395841809575681e-02,2.376693636669868423e-02,2.376276930638067039e-02,2.376331397687913086e-02,2.376730601822017383e-02,2.378045745202625114e-02,2.378722516267039663e-02,2.379564032798970816e-02,2.379754373331876768e-02
9.000000000000000000e+00,1.594607042718605705e-02,3.975090673222214654e-07,8.336005743875274376e-07,1.910434535547234081e-06,2.626550408842132089e-06,4.641588742800711875e-06,6.082150157953047920e-06,1.043408670179865605e-05,1.378117895886599165e-05,2.482758773104942751e-05,3.400067394607880766e-05,6.725043267427968652e-05,9.727186317686625783e-05,2.115202056160100930e-04,3.147870964713694875e-04,6.911804997790857441e-04,1.004956370818922001e-03,2.025576288014516169e-03,2.797033137328534813e-03,5.035596519080396544e-03,6.553459343020200112e-03,1.038879382539235896e-02,1.263005056013110500e-02,1.740643458439944391e-02,1.949185924281321425e-02,2.226055784719388475e-02,2.256708964487594282e-02,2.235841542039791741e-02,2.196789447715326304e-02,2.062425422926705831e-02,1.979375008218910159e-02,1.834119074881029182e-02,1.788062475641755827e-02,1.762909804063575447e-02,1.780847529221946113e-02,1.859341509198879361e-02,1.910234537022100637e-02,2.008148517533381305e-02,2.046486660302863220e-02,2.090516230267464026e-02,2.095982444219114671e-02,2.078246069555608755e-02,2.057685746607223337e-02,2.003897189975772930e-02,1.976719928615573718e-02,1.936106068244679290e-02,1.926396929423793841e-02,1.930321550255693908e-02,1.942103075375165022e-02,1.976235139140009034e-02,1.994282759494701851e-02,2.023348383309125920e-02,2.032000462580779016e-02,2.035335706147312074e-02,2.030494000534385779e-02,2.012068448793778719e-02,2.000876320297057670e-02,1.980957830482932280e-02,1.974262360400450000e-02,1.970224888188708279e-02,1.972775377112830075e-02,1.984140766723316990e-02,1.991082631078285037e-02,2.003994094025605965e-02,2.008493177068219893e-02,2.011681520888763952e-02,2.010421771554538051e-02,2.003790449451861577e-02,1.999345855963880619e-02,1.991139159392914249e-02,1.988268704230051337e-02,1.986207974795313469e-02,1.986923127853643806e-02,1.991251562668459874e-02,1.994109881929147232e-02,1.999388851581368476e-02,2.001342434380339735e-02,2.002765260706666772e-02,2.002214647783471385e-02,1.999271385093488035e-02,1.997436102797152391e-02,1.994209737714201791e-02,1.993158745444521818e-02,1.992484381602550175e-02,1.992880523174805907e-02,1.994598862786013671e-02,1.995691302638348541e-02,1.997763085581621967e-02,1.998475846278816026e-02,1.998838512392502043e-02,1.998503266151355207e-02,1.997213385923592155e-02,1.996506356045608943e-02,1.995387376883547143e-02,1.995113200395862152e-02,1.995148599632852460e-02,1.995410851534178132e-02,1.996274732443033967e-02,1.996719091380595723e-02,1.997271345128141806e-02,1.997396082316280075e-02
