external_field,drift_velocity
0.000000000000000000e+00,9.078672552066391604e-04
1.111111111111111154e-02,2.606235633342968844e-02
2.222222222222222307e-02,4.914279975367537301e-02
3.333333333333333287e-02,7.045972156888637150e-02
4.444444444444444614e-02,9.044254437229513888e-02
5.555555555555555941e-02,1.087584011241950616e-01
6.666666666666666574e-02,1.256812223075788604e-01
7.777777777777777901e-02,1.416177504373760943e-01
8.888888888888889228e-02,1.564964572055814185e-01
1.000000000000000056e-01,1.703000691833485569e-01
