time_step,temperature
1.340000000000000000e+02,7.638937723642121036e-02
1.350000000000000000e+02,7.643861194510249979e-02
1.360000000000000000e+02,7.648198598326659547e-02
1.370000000000000000e+02,7.652484019175305463e-02
1.380000000000000000e+02,7.658100505924968215e-02
1.390000000000000000e+02,7.664286700986523704e-02
1.400000000000000000e+02,7.664031611098436059e-02
1.410000000000000000e+02,7.663519008247526854e-02
1.420000000000000000e+02,7.666532752472900170e-02
1.430000000000000000e+02,7.668508221778290446e-02
1.440000000000000000e+02,7.671202138203399301e-02
1.450000000000000000e+02,7.672659956804549208e-02
1.460000000000000000e+02,7.675504590692323881e-02
1.470000000000000000e+02,7.679922595184025813e-02
1.480000000000000000e+02,7.680929105688109881e-02
1.490000000000000000e+02,7.682780533923613819e-02
1.500000000000000000e+02,7.684375710289285955e-02
1.510000000000000000e+02,7.689907463899796347e-02
1.520000000000000000e+02,7.699566246776040623e-02
1.530000000000000000e+02,7.709548763609838651e-02
1.540000000000000000e+02,7.719671503569210114e-02
1.550000000000000000e+02,7.729673397808581314e-02
1.560000000000000000e+02,7.739276308158862805e-02
1.570000000000000000e+02,7.748709493590606734e-02
1.580000000000000000e+02,7.764288928104708110e-02
1.590000000000000000e+02,7.782770620397083672e-02
1.600000000000000000e+02,7.803252388773083970e-02
1.610000000000000000e+02,7.822102275502434976e-02
1.620000000000000000e+02,7.840692208827136633e-02
1.630000000000000000e+02,7.858456303553815192e-02
1.640000000000000000e+02,7.876291366979036590e-02
1.650000000000000000e+02,7.892367103278218055e-02
1.660000000000000000e+02,7.909071182753037166e-02
1.670000000000000000e+02,7.927187550396536109e-02
1.680000000000000000e+02,7.941185646165614676e-02
1.690000000000000000e+02,7.955749841444084702e-02
1.700000000000000000e+02,7.964799782590858968e-02
1.710000000000000000e+02,7.974358429427079453e-02
1.720000000000000000e+02,7.985864450668932191e-02
1.730000000000000000e+02,7.997904407417046058e-02
1.740000000000000000e+02,8.008182664368744541e-02
1.750000000000000000e+02,8.018862946630019028e-02
1.760000000000000000e+02,8.030469894495814720e-02
1.770000000000000000e+02,8.040888725398342984e-02
1.780000000000000000e+02,8.047777092875575689e-02
1.790000000000000000e+02,8.058193768809028545e-02
1.800000000000000000e+02,8.066217471067695099e-02
1.810000000000000000e+02,8.075633702922341284e-02
1.820000000000000000e+02,8.084073550818336729e-02
1.830000000000000000e+02,8.092658567187313579e-02
1.840000000000000000e+02,8.100934032734542767e-02
1.850000000000000000e+02,8.109631465425758134e-02
1.860000000000000000e+02,8.115592542390752395e-02
1.870000000000000000e+02,8.126422173070362021e-02
1.880000000000000000e+02,8.136653293903614581e-02
1.890000000000000000e+02,8.143701307020143054e-02
1.900000000000000000e+02,8.150339641419003522e-02
1.910000000000000000e+02,8.159335067124327823e-02
1.920000000000000000e+02,8.166403405066936794e-02
