r,g_AA,g_BB,g_AB,g_WW
7.650000000000e+00,9.569767147308e-01,1.017863608370e+00,1.039775666908e+00,1.006214869463e+00
7.750000000000e+00,9.699295510875e-01,1.006487922397e+00,1.033178027814e+00,1.003761404117e+00
7.850000000000e+00,9.891347132293e-01,9.956526394901e-01,1.028662887326e+00,1.000598109194e+00
7.950000000000e+00,1.008999148536e+00,9.876401206422e-01,1.026426228955e+00,9.972176680921e-01
8.050000000000e+00,1.023782061531e+00,9.838977862080e-01,1.025792595719e+00,9.938085757188e-01
8.150000000000e+00,1.030034878483e+00,9.854324602838e-01,1.025437301358e+00,9.906458036703e-01
8.250000000000e+00,1.027733962576e+00,9.920678183255e-01,1.024099940099e+00,9.883802412658e-01
8.350000000000e+00,1.020429323377e+00,1.001662099527e+00,1.021007879950e+00,9.877111620673e-01
8.450000000000e+00,1.013483691849e+00,1.010770183303e+00,1.015643364383e+00,9.886992758375e-01
8.550000000000e+00,1.010242993322e+00,1.016599924334e+00,1.007759365314e+00,9.905513802583e-01
8.650000000000e+00,1.009616657452e+00,1.018597056693e+00,9.981936657451e-01,9.922757143137e-01
8.750000000000e+00,1.008015645117e+00,1.018271549888e+00,9.893951259400e-01,9.935641942789e-01
8.850000000000e+00,1.003190263728e+00,1.017601349325e+00,9.844056647746e-01,9.949546033425e-01
8.950000000000e+00,9.957145002960e-01,1.017348681594e+00,9.847660509110e-01,9.971781456826e-01
9.050000000000e+00,9.876565629985e-01,1.016543692485e+00,9.892219254378e-01,1.000382377688e+00
9.150000000000e+00,9.808983439548e-01,1.013583953961e+00,9.945911147615e-01,1.003915911318e+00
9.250000000000e+00,9.766263771464e-01,1.007929137128e+00,9.981465489256e-01,1.006825578091e+00
9.350000000000e+00,9.755528684973e-01,1.000717675636e+00,9.992057894001e-01,1.008599406316e+00
9.450000000000e+00,9.778640278388e-01,9.938255804736e-01,9.984672805131e-01,1.009449200178e+00
9.550000000000e+00,9.827730979958e-01,9.883776824649e-01,9.963879692728e-01,1.009920502844e+00
9.650000000000e+00,9.885722726984e-01,9.841026838820e-01,9.928442633045e-01,1.010349867799e+00
9.750000000000e+00,9.935167094655e-01,9.802132134810e-01,9.882102724116e-01,1.010738217119e+00
9.850000000000e+00,9.966291826522e-01,9.769144067967e-01,9.840554922264e-01,1.010985392614e+00
9.950000000000e+00,9.976665790220e-01,9.755430642118e-01,9.823683895540e-01,1.011064449598e+00
