lag_index,E_0.0000,E_0.0100,E_0.0200,E_0.0300,E_0.0400,E_0.0500,E_0.0600,E_0.0700,E_0.0800,E_0.0900,E_0.1000
0.000000000000000000e+00,0.000000000000000000e+00,8.519317831092443338e-03,3.209102251958215191e-02,6.773574085828631963e-02,1.124740996400224735e-01,1.633267256576138027e-01,2.173142457038712561e-01,2.714572865716267658e-01,3.227764750536790683e-01,3.682924379428599293e-01,4.050258020319768004e-01
1.000000000000000000e+00,0.000000000000000000e+00,6.697403596264361880e-03,2.522905189528065750e-02,5.325410116238243896e-02,8.843170766290611717e-02,1.284210276621824687e-01,1.708812174255575911e-01,2.134714332183446917e-01,2.538508313058923660e-01,2.896785679535359703e-01,3.186137994266012852e-01
2.000000000000000000e+00,0.000000000000000000e+00,5.265116347360848659e-03,1.983435752288187359e-02,4.186856172672104304e-02,6.952856715903579787e-02,1.009752120199812753e-01,1.343693345097124736e-01,1.678717728284000177e-01,1.996433651761864436e-01,2.278449497532374635e-01,2.506373647597111010e-01
3.000000000000000000e+00,0.000000000000000000e+00,4.139132537165468584e-03,1.559319767364904241e-02,3.291719669693378425e-02,5.466613089450135521e-02,7.939500155383187596e-02,1.056588099624113791e-01,1.320125574077140596e-01,1.570112451772326945e-01,1.792098745584363439e-01,1.971634468388206995e-01
4.000000000000000000e+00,0.000000000000000000e+00,3.253947416653024671e-03,1.225891545386470494e-02,2.587959279251338118e-02,4.298066811347754645e-02,6.242683009763790036e-02,8.308276742587032693e-02,1.038131687790588426e-01,1.234827228380748348e-01,1.409561182838021676e-01,1.550980437971242742e-01
5.000000000000000000e+00,0.000000000000000000e+00,2.558065196971992528e-03,9.637597338602504893e-03,2.034660125096475480e-02,3.379308176013105791e-02,4.908504369217422947e-02,6.533049187316514184e-02,8.163743112917568046e-02,9.711386628628365658e-02,1.108678021705537531e-01,1.220072436080633649e-01
6.000000000000000000e+00,0.000000000000000000e+00,2.011002037423562094e-03,7.576791024037188294e-03,1.599654127135539949e-02,2.656942709089171739e-02,3.859462279416078778e-02,5.137130269267699278e-02,6.419864109795708762e-02,7.637581232151088861e-02,8.720199067485581712e-02,9.597635046950639404e-02
7.000000000000000000e+00,0.000000000000000000e+00,1.580932269975889037e-03,5.956644399031520154e-03,1.257650936585810036e-02,2.088990014914703097e-02,3.034618972758980349e-02,4.039475107987672287e-02,5.048495718469869775e-02,6.006618102075039767e-02,6.858779556672013611e-02,7.549917380130079236e-02
8.000000000000000000e+00,0.000000000000000000e+00,1.242836131631598617e-03,4.682932232688282598e-03,9.887669862412396676e-03,1.642443058004745479e-02,2.386059594483612087e-02,3.176354751602131210e-02,3.970066685284280583e-02,4.723933551455004876e-02,5.394693506038010511e-02,5.939084704957810212e-02
9.000000000000000000e+00,0.000000000000000000e+00,9.770444661781445272e-04,3.681577149479059452e-03,7.773696977052518831e-03,1.291350287604817876e-02,1.876109377361581676e-02,2.497656859690446096e-02,3.122002627306356970e-02,3.715156572924483563e-02,4.243128589259608646e-02,4.671928569026663480e-02
1.000000000000000000e+01,0.000000000000000000e+00,7.680945772870016036e-04,2.894341893436439342e-03,6.111687324881391950e-03,1.015307624805497112e-02,1.475145403938926160e-02,1.963976607531750518e-02,2.455095773227209538e-02,2.921797438668751606e-02,3.337376141499613647e-02,3.675126419362977070e-02
1.100000000000000000e+01,0.000000000000000000e+00,6.038301655327971834e-04,2.275440446965809084e-03,4.805010521550997886e-03,7.982720066539803622e-03,1.159874875918489798e-02,1.544327627673752409e-02,1.930648229644944813e-02,2.297854649557385873e-02,2.624964855136225142e-02,2.890996814106491092e-02
1.200000000000000000e+01,0.000000000000000000e+00,4.746952445449817252e-04,1.788879418022474655e-03,3.777700180195871400e-03,6.276305190829116649e-03,9.119842109685808579e-03,1.214345859652928364e-02,1.518230231112308211e-02,1.807152091323234108e-02,2.064626206261887739e-02,2.274167341904656872e-02
1.300000000000000000e+01,0.000000000000000000e+00,3.731768492705941909e-04,1.406359591098857399e-03,2.970026516509530635e-03,4.934655916527174065e-03,7.170726082176949803e-03,9.548715304482898250e-03,1.193910187446977841e-02,1.421236408316265895e-02,1.623898022158722088e-02,1.788942858076593770e-02
1.400000000000000000e+01,0.000000000000000000e+00,2.933691726647478723e-04,1.105634654653026971e-03,2.335033391955910250e-03,3.879802330564324081e-03,5.638178416469355296e-03,7.508398595662053865e-03,9.388699814133819738e-03,1.117731901787503632e-02,1.277249315287719809e-02,1.407245916513098077e-02
1.500000000000000000e+01,0.000000000000000000e+00,2.306290423979440868e-04,8.692138238000357564e-04,1.835800825518569580e-03,3.050436528866060440e-03,4.433167415154736120e-03,5.904039965697206044e-03,7.383100661805840244e-03,8.790395984792118839e-03,1.004597241597027409e-02,1.106987643665089359e-02
1.600000000000000000e+01,0.000000000000000000e+00,1.813065464989970996e-04,6.833474188262063029e-04,1.443304466226962707e-03,2.398359537946512070e-03,3.485694483230194259e-03,4.642491151323203426e-03,5.805931391471308781e-03,6.913197052919514522e-03,7.901469984913058603e-03,8.707932036697195455e-03
1.700000000000000000e+01,0.000000000000000000e+00,1.425321477597123535e-04,5.372251397252180566e-04,1.134723798926078747e-03,1.885672948391836981e-03,2.740717411151897404e-03,3.650502010236079259e-03,4.565671568673736885e-03,5.436870909494251509e-03,6.214744855727926363e-03,6.849938230403136534e-03
1.800000000000000000e+01,0.000000000000000000e+00,1.120500129109178178e-04,4.223483637682285546e-04,8.921175207587664011e-04,1.482579952069272740e-03,2.154958125886714468e-03,2.870474510397798273e-03,3.590351573789425134e-03,4.275811784248471741e-03,4.888077609961499065e-03,5.388371519115702120e-03
1.900000000000000000e+01,0.000000000000000000e+00,8.808680271935390160e-05,3.320359748420279034e-04,7.013806623150280542e-04,1.165654011085203411e-03,1.694389167099526194e-03,2.257119276304940005e-03,2.823377484648412726e-03,3.362696938076736169e-03,3.844610782537319707e-03,4.238652163976500652e-03
2.000000000000000000e+01,0.000000000000000000e+00,6.924842015360206660e-05,2.610354757596258790e-04,5.514238595359082645e-04,9.164762642002721726e-04,1.332255382470553563e-03,1.774823907064533753e-03,2.220244530700021812e-03,2.644579946095064471e-03,3.023892845967133397e-03,3.334245923034254502e-03
2.100000000000000000e+01,0.000000000000000000e+00,5.443879639224942502e-05,2.052170926186286382e-04,4.335277492535901181e-04,7.205636268715603227e-04,1.047517586047050711e-03,1.395582487354372382e-03,1.745951191367997764e-03,2.079816558662607451e-03,2.378371449812396315e-03,2.622808725391915716e-03
2.200000000000000000e+01,0.000000000000000000e+00,4.279637795610424095e-05,1.613345432309827229e-04,3.408380429344836510e-04,5.665304241764170662e-04,8.236352340666840827e-04,1.097376019715079996e-03,1.372976328231479901e-03,1.635659706725748480e-03,1.870649702307680164e-03,2.063169862087103207e-03
2.300000000000000000e+01,0.000000000000000000e+00,3.364382528402501404e-05,1.268355609209811594e-04,2.679655965881913918e-04,4.454243219629751976e-04,6.476021267226199710e-04,8.628894005445093829e-04,1.079676533105886592e-03,1.286353914084125728e-03,1.471311933156592248e-03,1.622940980000529311e-03
2.400000000000000000e+01,0.000000000000000000e+00,2.644866839136752329e-05,9.971368668409887753e-05,2.106735745561116521e-04,3.502068516853459879e-04,5.091920377497454950e-04,6.785076524272208240e-04,8.490322153957225240e-04,1.011644246333194205e-03,1.157222264917505752e-03,1.276644790826677103e-03
2.500000000000000000e+01,0.000000000000000000e+00,2.079226858750071044e-05,7.839134531077186774e-05,1.656306366109592046e-04,2.753435489292440155e-04,4.003634887067408082e-04,5.335238623846187342e-04,6.676580764040165872e-04,7.955995372061538257e-04,9.101816512320764357e-04,1.004237824923026427e-03
2.600000000000000000e+01,0.000000000000000000e+00,1.634555973621925479e-05,6.162845765614582277e-05,1.302180218266937514e-04,2.164835803147640778e-04,3.147944611872673798e-04,4.195199925111385217e-04,5.250295023532334376e-04,6.256923187804956654e-04,7.158777698598357830e-04,7.899551836581426845e-04
2.700000000000000000e+01,0.000000000000000000e+00,1.284984254452080366e-05,4.845008581738641240e-05,1.023768032775507555e-04,1.702060683839686298e-04,2.475139545955948317e-04,3.298765353713650761e-04,4.128698841702697214e-04,4.920700744512262678e-04,5.630531796732094613e-04,6.213952732951723637e-04
2.800000000000000000e+01,0.000000000000000000e+00,1.010172259292493879e-05,3.808968729102687328e-05,8.048808947330038377e-05,1.338211245187365811e-04,1.946129878063231067e-04,2.593878747150554082e-04,3.246699806239271985e-04,3.869835009119261190e-04,4.428526309580632300e-04,4.888015661413096929e-04
2.900000000000000000e+01,0.000000000000000000e+00,7.941324194945219295e-06,2.994470932181185485e-05,6.327927419364290373e-05,1.052141376234804956e-04,1.530184184243763013e-04,2.039612354093559704e-04,2.553117073914798474e-04,3.043389531838004702e-04,3.483120915993261416e-04,3.845002414511128688e-04
3.000000000000000000e+01,0.000000000000000000e+00,6.242955941132728725e-06,2.354141884242013510e-05,4.974978132069995257e-05,8.272243599280557774e-05,1.203137754755747441e-04,1.603781923858391134e-04,2.007700793404312151e-04,2.393438289561931193e-04,2.739538338499616921e-04,3.024544866385642586e-04
3.100000000000000000e+01,0.000000000000000000e+00,4.907809569512297521e-06,1.850739260304736650e-05,3.911298058810290523e-05,6.503880501217054050e-05,9.459909736274710323e-05,1.261080891273285570e-04,1.578800117934073960e-04,1.882290968484908594e-04,2.154695757800645026e-04,2.379156800756294932e-04
3.200000000000000000e+01,0.000000000000000000e+00,3.858200205971405727e-06,1.454981419329003101e-05,3.075036201606595743e-05,5.113536372841013394e-05,7.438033938442570325e-05,9.916080903822361431e-05,1.241522927439113466e-04,1.480303105556041859e-04,1.694703825274104791e-04,1.871480287134264300e-04
3.300000000000000000e+01,0.000000000000000000e+00,3.033064690910990124e-06,1.143851103016860216e-05,2.417571741756240067e-05,4.020406225288021551e-05,5.848292393591247862e-05,7.797168086644441776e-05,9.762971144426473014e-05,1.164163940691673171e-04,1.332911071409374065e-04,1.472132290593636955e-04
3.400000000000000000e+01,0.000000000000000000e+00,2.384397601448533244e-06,8.992524195690528022e-06,1.900678046757101058e-05,3.160956710193500718e-05,4.598328478362494198e-05,6.131033419748497387e-05,7.677311602836012910e-05,9.155403096109803601e-05,1.048354796805385167e-04,1.157998628715265974e-04
3.500000000000000000e+01,0.000000000000000000e+00,1.874456228561673099e-06,7.069575567369111579e-06,1.494298399610724526e-05,2.485230749446100396e-05,3.615517204211705221e-05,4.820920361875511567e-05,6.037202820406706305e-05,7.200127177773261999e-05,8.245456031943845104e-05,9.108951980886775129e-05
3.600000000000000000e+01,0.000000000000000000e+00,1.473573448771206551e-06,5.557825491418061370e-06,1.174805367243781512e-05,1.953955553632858583e-05,2.842762862758762415e-05,3.790757049071391549e-05,4.747467867020471050e-05,5.662425071055899456e-05,6.485158415627401834e-05,7.165197655184529779e-05
3.700000000000000000e+01,0.000000000000000000e+00,1.158425554169395522e-06,4.369344733827149052e-06,9.236221314695008955e-06,1.536251907249559095e-05,2.235170178295064342e-05,2.980723322178451679e-05,3.733257716471548998e-05,4.453119738747051554e-05,5.100655766577134181e-05,5.636212177533451301e-05
3.800000000000000000e+01,0.000000000000000000e+00,9.106769161570417437e-07,3.435006439942746292e-06,7.261436734328982623e-06,1.207841596228718603e-05,1.757439228678965917e-05,2.343781387080653630e-05,2.935712887731098744e-05,3.502078546927401420e-05,4.011723180966878660e-05,4.433491606146327049e-05
3.900000000000000000e+01,0.000000000000000000e+00,7.159136081618701353e-07,2.700466988695120890e-06,5.708878975672296990e-06,9.496368403164642119e-06,1.381815410524339996e-05,1.842945491598154892e-05,2.308548966945033268e-05,2.754147719972012756e-05,3.155263634086608038e-05,3.487418592695683273e-05
4.000000000000000000e+01,0.000000000000000000e+00,5.628034678434312710e-07,2.123000174492507136e-06,4.488269574626051195e-06,7.466291122923320728e-06,1.086474427406140461e-05,1.449130848271956012e-05,1.815366320357661087e-05,2.165948789131094676e-05,2.481646200060269244e-05,2.743226498612763575e-05
4.100000000000000000e+01,0.000000000000000000e+00,4.424378816109825197e-07,1.669016236989766949e-06,3.528632131955325435e-06,5.870182632326196442e-06,8.542564803920918437e-06,1.139467571255759620e-05,1.427541242405650293e-05,1.703367200423574340e-05,1.951835151891428977e-05,2.157834803390851208e-05
4.200000000000000000e+01,0.000000000000000000e+00,3.478148877444561804e-07,1.312113487074613449e-06,2.774176702135221217e-06,4.615285437071462576e-06,6.716720596026785894e-06,8.959763083146374263e-06,1.122569380257497709e-05,1.339579365845691011e-05,1.535134355493779010e-05,1.697362439616149909e-05
4.300000000000000000e+01,0.000000000000000000e+00,2.734285685776147168e-07,1.031530510652196864e-06,2.181030180737220797e-06,3.628651933346160874e-06,5.281120122991624088e-06,7.045159104187084798e-06,8.827493231445583677e-06,1.053484685928102876e-05,1.207394434220602705e-05,1.335151003473405290e-05
4.400000000000000000e+01,0.000000000000000000e+00,2.149507689883957406e-07,8.109463657604565334e-07,1.714701725023890649e-06,2.852931781488574764e-06,4.152351469862650829e-06,5.539675724855561839e-06,6.941619481175883427e-06,8.284897673532191226e-06,9.496225236633928229e-06,1.050231710518923639e-05
4.500000000000000000e+01,0.000000000000000000e+00,1.689796637551095604e-07,6.375327395377605733e-07,1.348080354122635494e-06,2.243043634286585181e-06,3.264843706804292089e-06,4.355901698451306037e-06,5.458638736004044201e-06,6.515475946237189037e-06,7.468834455926724042e-06,8.261135391847765352e-06
4.600000000000000000e+01,0.000000000000000000e+00,1.328401242582655239e-07,5.012013455435102016e-07,1.059844936624008277e-06,1.763532170266732951e-06,2.567024319238223745e-06,3.425082656305887541e-06,4.292468454237131220e-06,5.123942985799361666e-06,5.874267523759118398e-06,6.498203340883374618e-06
4.700000000000000000e+01,0.000000000000000000e+00,1.044297959101360418e-07,3.940236332137907194e-07,8.332381862710507014e-07,1.386530129442870019e-06,2.018356137088901658e-06,2.693172883569232290e-06,3.375437043244815943e-06,4.029605290475305607e-06,4.620134299621221630e-06,5.111480745042650681e-06
4.800000000000000000e+01,0.000000000000000000e+00,8.209551741709952832e-08,3.097648645323733407e-07,6.550822336396158740e-07,1.090121817034356289e-06,1.586957807010822702e-06,2.117664395864544274e-06,2.654315775889315443e-06,3.168986139381099049e-06,3.633749678633255847e-06,4.020680585941748680e-06
4.900000000000000000e+01,0.000000000000000000e+00,6.453775486985405263e-08,2.435238026232688924e-07,5.150173179751561803e-07,8.570774756395602156e-07,1.247763450331826340e-06,1.665134416766866216e-06,2.087249549659591502e-06,2.492168023724913861e-06,2.857949013677311273e-06,3.162651694231695398e-06
5.000000000000000000e+01,0.000000000000000000e+00,5.073510773350234371e-08,1.914480666758561211e-07,4.049003304393977709e-07,6.738533526364637316e-07,9.810685868798241227e-07,1.309307486781815383e-06,1.641331505955207631e-06,1.959902098012337307e-06,2.247780716565107167e-06,2.487728815226721013e-06
5.100000000000000000e+01,0.000000000000000000e+00,3.988441075195373053e-08,1.505082809949605249e-07,3.183275677086545852e-07,5.297982278735374750e-07,7.713762184692433965e-07,1.029517496476273913e-06,1.290678018874263228e-06,1.541313742644146584e-06,1.767880624765124503e-06,1.956834622217698549e-06
5.200000000000000000e+01,0.000000000000000000e+00,3.135430420289284092e-08,1.183230028691494018e-07,2.502647750857872611e-07,4.165382999389566354e-07,6.065022565156751033e-07,8.095153239029602432e-07,1.014936181187395953e-06,1.212123507455132448e-06,1.390435981793620990e-06,1.539232283289011793e-06
