bin_centers,E_0.00,E_0.01,E_0.02,E_0.03,E_0.04,E_0.06,E_0.07,E_0.08,E_0.09,E_0.10
3.324500539086081008e-02,6.637916548745925738e+00,7.323449091638524422e+00,7.180183501619953113e+00,6.562936426867048034e+00,6.126277636728672427e+00,5.621835477481043064e+00,5.562922524576210392e+00,5.316893999661142622e+00,5.075384366020024629e+00,5.065007652724287546e+00
4.147491852442422577e-02,5.630873260028943506e+00,6.537329376314664486e+00,6.547873455953880928e+00,5.995397156127594940e+00,5.516394681088871543e+00,4.978311886801834341e+00,4.810778176978717013e+00,4.552029809959196704e+00,4.423827190853794278e+00,4.464999311349784783e+00
4.970483165798764147e-02,4.716718291943160501e+00,5.586186446319880261e+00,5.842089585500247040e+00,5.477063590371156643e+00,4.955884796775563039e+00,4.322737919392092287e+00,4.299473997648423307e+00,3.946498379249865796e+00,3.907502021219110500e+00,3.835367127179386326e+00
5.793474479155105716e-02,3.805575918040010830e+00,4.698475360503880260e+00,5.149862388868464258e+00,4.850444000383391518e+00,4.455794162458404983e+00,3.975787489358802773e+00,3.802395957513897695e+00,3.503479668059263918e+00,3.335109126518748024e+00,3.354188889675426832e+00
6.616465792511447286e-02,2.941463486654638970e+00,3.835367127179386326e+00,4.410103150688462925e+00,4.373617287809902443e+00,4.020306936724386659e+00,3.605740503925322749e+00,3.378122276793015466e+00,3.105984602295123409e+00,3.030837114072765903e+00,2.987823963798499349e+00
7.439457105867788855e-02,2.223294506783512148e+00,3.063808283738254978e+00,3.738796746991635001e+00,3.824990413883648799e+00,3.649925218603947474e+00,3.318707224857743832e+00,3.161215495643403983e+00,2.873680117545385659e+00,2.832507997049394710e+00,2.729242963122458399e+00
8.262448419224130425e-02,1.672826603078982899e+00,2.371748453449951555e+00,3.149667217943309172e+00,3.370758157679911271e+00,3.356029919453702881e+00,3.097114186090702770e+00,2.996192280972481026e+00,2.761209934727069104e+00,2.646731355786996698e+00,2.581960580860376719e+00
9.085439732580471994e-02,1.194828326101136318e+00,1.851071758884797358e+00,2.588989967286521754e+00,2.993849152163766014e+00,3.055942065594712265e+00,2.926735248428431468e+00,2.868659127240996476e+00,2.715184190270168774e+00,2.590663630721318000e+00,2.525892855794698022e+00
9.908431045936813564e-02,8.778364715507016580e-01,1.360018907115539077e+00,2.089234065656322414e+00,2.599199314238779479e+00,2.820792353005820541e+00,2.770917182648888311e+00,2.790164312149046477e+00,2.590161531690879038e+00,2.562043985986299788e+00,2.485892299703064356e+00
1.073142235929315513e-01,5.934810539787966910e-01,1.022943091347547906e+00,1.653746839922303868e+00,2.194005396674575614e+00,2.547817846790530361e+00,2.696606526143928928e+00,2.693593931961295151e+00,2.522545528925105085e+00,2.514679310781561927e+00,2.453757961754973849e+00
1.155441367264949948e-01,4.036876204728843121e-01,7.288804258538189584e-01,1.281189359336621036e+00,1.851573857915223664e+00,2.278525400131777623e+00,2.494260616877029602e+00,2.565726045542834566e+00,2.454929526159315145e+00,2.463799942363735784e+00,2.520369766459853000e+00
1.237740498600584382e-01,2.796691599544752216e-01,5.032705948432717458e-01,1.009051684838737861e+00,1.555837528986715457e+00,2.005718260259982788e+00,2.281203261627466894e+00,2.406225920206756630e+00,2.324383778245213694e+00,2.401707028932806409e+00,2.437021327407010052e+00
1.320039629936218539e-01,1.742283635623032567e-01,3.605071038551403984e-01,7.275414951059867574e-01,1.256586506845122742e+00,1.739773140470837864e+00,2.059108123829987314e+00,2.217771417448684446e+00,2.213754625205172744e+00,2.285889519244896917e+00,2.368066393893399457e+00
1.402338761271852696e-01,1.138091135661539050e-01,2.510495152194571200e-01,5.471205768349368670e-01,1.001520199382154308e+00,1.500439269294955524e+00,1.854586452097869653e+00,2.000195170925154642e+00,2.066806975630050669e+00,2.182457118974480803e+00,2.269654983927372083e+00
