training_step,loss
6.800000000000000000e+01,9.940676989677160307e-06
6.900000000000000000e+01,1.030629330820871377e-05
7.000000000000000000e+01,8.919946222698151757e-06
7.100000000000000000e+01,6.377236108880174612e-06
7.200000000000000000e+01,2.954152663605893194e-06
7.300000000000000000e+01,9.859285061195176409e-07
7.400000000000000000e+01,2.592177661784115459e-08
7.500000000000000000e+01,4.106668111679450175e-07
7.600000000000000000e+01,1.589150127785262643e-06
7.700000000000000000e+01,2.980659352477007916e-06
7.800000000000000000e+01,3.821775907238902615e-06
7.900000000000000000e+01,3.747713385285879427e-06
8.000000000000000000e+01,2.713137512717639806e-06
8.100000000000000000e+01,1.544224182227408040e-06
8.200000000000000000e+01,5.166575821098452830e-07
8.300000000000000000e+01,2.887044546155956814e-08
8.400000000000000000e+01,8.672442638387882539e-08
8.500000000000000000e+01,5.110677589646131936e-07
8.600000000000000000e+01,1.041667933399184767e-06
8.700000000000000000e+01,1.384316624279442079e-06
8.800000000000000000e+01,1.417074513342869973e-06
8.900000000000000000e+01,1.192935308675061555e-06
9.000000000000000000e+01,6.130880214725347605e-07
9.100000000000000000e+01,2.506023514240714248e-07
9.200000000000000000e+01,7.428883932448669789e-08
9.300000000000000000e+01,2.074004008327410971e-09
9.400000000000000000e+01,1.366615212054459282e-07
9.500000000000000000e+01,3.505003853739826111e-07
9.600000000000000000e+01,4.839127480550862708e-07
9.700000000000000000e+01,5.264104376230657997e-07
9.800000000000000000e+01,4.295717706867490776e-07
9.900000000000000000e+01,2.639550059196943734e-07
1.000000000000000000e+02,1.362795631080707927e-07
1.010000000000000000e+02,1.491165237415657131e-08
1.020000000000000000e+02,2.927451298998168740e-09
1.030000000000000000e+02,5.616899443782685338e-08
1.040000000000000000e+02,1.238022927035238471e-07
1.050000000000000000e+02,1.832911823140923851e-07
1.060000000000000000e+02,1.590402168878410518e-07
1.070000000000000000e+02,1.877539444765889743e-07
1.080000000000000000e+02,1.123513493970623708e-07
1.090000000000000000e+02,4.761614324945879675e-08
1.100000000000000000e+02,6.896809922109155822e-09
1.110000000000000000e+02,1.362905225667448447e-10
1.120000000000000000e+02,1.094006933678385126e-08
1.130000000000000000e+02,5.037452371886175761e-08
1.140000000000000000e+02,7.964460050679406734e-08
1.150000000000000000e+02,8.431675374814218541e-08
1.160000000000000000e+02,7.384010358246586681e-08
1.170000000000000000e+02,4.168246053769716674e-08
1.180000000000000000e+02,1.132925482679526878e-08
1.190000000000000000e+02,1.184755209960708419e-09
1.200000000000000000e+02,2.156956904566006591e-09
1.210000000000000000e+02,9.469928542781965049e-09
1.220000000000000000e+02,1.530762509165806395e-08
1.230000000000000000e+02,2.633980632864046936e-08
1.240000000000000000e+02,2.608024960905854696e-08
1.250000000000000000e+02,1.771358639394499111e-08
1.260000000000000000e+02,1.122738193526860849e-08
1.270000000000000000e+02,5.304187379151469416e-09
1.280000000000000000e+02,1.752159717004745573e-09
1.290000000000000000e+02,1.379758449731442861e-10
1.300000000000000000e+02,2.882385516808395891e-09
1.310000000000000000e+02,8.956293211645373003e-09
1.320000000000000000e+02,1.261370246755635919e-08
1.330000000000000000e+02,1.260517882493789087e-08
1.340000000000000000e+02,8.322547775416686116e-09
1.350000000000000000e+02,4.222334684857836523e-09
1.360000000000000000e+02,4.025059184865900006e-10
1.370000000000000000e+02,2.810529881331198069e-12
1.380000000000000000e+02,1.279861327977994106e-09
1.390000000000000000e+02,2.572013845714337624e-09
1.400000000000000000e+02,3.043700497798740764e-09
1.410000000000000000e+02,3.643235911732580358e-09
1.420000000000000000e+02,2.661176296202340773e-09
1.430000000000000000e+02,2.468538221122404857e-09
1.440000000000000000e+02,1.518567360078754093e-09
1.450000000000000000e+02,3.013936032702470904e-11
1.460000000000000000e+02,5.801254827610617466e-10
1.470000000000000000e+02,4.693552273345376239e-10
1.480000000000000000e+02,4.601574247133442266e-10
1.490000000000000000e+02,1.854031186352523084e-09
