r,g_cg_AA,g_cg_AB,g_cg_BB
2.850000000000000533e+00,1.074653316066312314e+00,3.516367039182116683e-01,3.375804204108429074e-02
2.950000000000000178e+00,1.286365672006835936e+00,5.601153724355225627e-01,7.995813338652212054e-02
3.049999999999999822e+00,1.433663549474207821e+00,8.106137824921528789e-01,1.647343229300915479e-01
3.150000000000000355e+00,1.504740513043743233e+00,1.074773726133487095e+00,3.007538658419591782e-01
3.250000000000000000e+00,1.510806283352403856e+00,1.314731368401132805e+00,4.947121565211446415e-01
3.350000000000000533e+00,1.473815930911571037e+00,1.495341511815713620e+00,7.389869947439626774e-01
3.450000000000000178e+00,1.410874025005524501e+00,1.597680380792496191e+00,1.005579036715386732e+00
3.549999999999999822e+00,1.333135041976316604e+00,1.623146883021609366e+00,1.255383436807830932e+00
3.650000000000000355e+00,1.250344831289565306e+00,1.587102111506573987e+00,1.456712991323172890e+00
3.750000000000000000e+00,1.170499047407447479e+00,1.511977504282747464e+00,1.590686932536927944e+00
3.850000000000000533e+00,1.100621152341439757e+00,1.420728283859769903e+00,1.648815460038080882e+00
3.950000000000000178e+00,1.045296532133211498e+00,1.329377682551409645e+00,1.637732777521440752e+00
4.050000000000000711e+00,1.003322447701101350e+00,1.244469907835730638e+00,1.578775332804696285e+00
4.150000000000000355e+00,9.726189679113976805e-01,1.167497155635519590e+00,1.492871508481566689e+00
4.250000000000000000e+00,9.539452550730393998e-01,1.101175857588838181e+00,1.392511539765692419e+00
4.349999999999999645e+00,9.457838397915974138e-01,1.049291451263200781e+00,1.290072804760322045e+00
4.450000000000000178e+00,9.428078342986441207e-01,1.011346898108834935e+00,1.199011696329751242e+00
4.550000000000000711e+00,9.421577138480368152e-01,9.828485319863667913e-01,1.124946220329835711e+00
4.650000000000000355e+00,9.464280580387857134e-01,9.616352217279171555e-01,1.066215632302499827e+00
4.750000000000000000e+00,9.583185325825340772e-01,9.487614180670832509e-01,1.021278842265551212e+00
4.850000000000000533e+00,9.751867161615184187e-01,9.440507464041871799e-01,9.888894579059661627e-01
4.950000000000000178e+00,9.906655868403497767e-01,9.462421742317626006e-01,9.664768076761177662e-01
5.050000000000000711e+00,1.001406846417619345e+00,9.543539816419789323e-01,9.521246132890219815e-01
5.150000000000000355e+00,1.009549376534401244e+00,9.657033501517544583e-01,9.452817672216613509e-01
5.250000000000000000e+00,1.018602317140677060e+00,9.774968571185518318e-01,9.462483726269546036e-01
5.350000000000000533e+00,1.029547733214869476e+00,9.901500046260534038e-01,9.554330596342923698e-01
5.450000000000000178e+00,1.040807262249906717e+00,1.005060092135455996e+00,9.710724384443645274e-01
5.550000000000000711e+00,1.050161948415135882e+00,1.021080247204410707e+00,9.894521399463500622e-01
5.650000000000000355e+00,1.056566293536856715e+00,1.035071990705338507e+00,1.008304098065218035e+00
5.750000000000000000e+00,1.059584315673514965e+00,1.045152441342580563e+00,1.027356859985248949e+00
5.850000000000000533e+00,1.058336918396744597e+00,1.052046723064043565e+00,1.046096979245147551e+00
5.950000000000000178e+00,1.053828212651023444e+00,1.056448113103424902e+00,1.063035494538199899e+00
6.050000000000000711e+00,1.048512114513204363e+00,1.057401058056167242e+00,1.076282732430177802e+00
6.150000000000000355e+00,1.042633843450085473e+00,1.055022277428625976e+00,1.084562439705416992e+00
6.250000000000000000e+00,1.035708363949776611e+00,1.051725687809530907e+00,1.088431837000030544e+00
6.350000000000000533e+00,1.029043375334045329e+00,1.049042685053784396e+00,1.088763076733024748e+00
6.450000000000000178e+00,1.023809295197795732e+00,1.046099215773365287e+00,1.084953073766683040e+00
6.550000000000000711e+00,1.019610498534301524e+00,1.042240695114391436e+00,1.077230701229459964e+00
6.650000000000000355e+00,1.015977503917897540e+00,1.037709257810140784e+00,1.067651162541340959e+00
