time_lag,vacf_aa_norm,vacf_ibi_norm,vacf_gle_norm
7.600000000000000000e+02,1.283856593167028437e-01,9.597727437283573027e-01,1.754779266430968321e-01
7.700000000000000000e+02,1.261609646999403977e-01,9.593332125104515606e-01,1.731000108250120573e-01
7.800000000000000000e+02,1.239815940293317181e-01,9.588929960834114974e-01,1.707387459692976395e-01
7.900000000000000000e+02,1.218437700073081720e-01,9.584503610107139027e-01,1.683894746936309694e-01
8.000000000000000000e+02,1.197431443960037672e-01,9.580036952710161424e-01,1.660534537497000696e-01
8.100000000000000000e+02,1.176749858048975611e-01,9.575515278664621377e-01,1.637371521702544741e-01
8.200000000000000000e+02,1.156342737015072231e-01,9.570925413681879990e-01,1.614543146170257515e-01
8.300000000000000000e+02,1.136159646451529032e-01,9.566256084884503519e-01,1.592094542408275248e-01
8.400000000000000000e+02,1.116154327586061229e-01,9.561498584083222285e-01,1.569988004306221985e-01
8.500000000000000000e+02,1.096289883333691761e-01,9.556646631834433414e-01,1.548212959856637705e-01
8.600000000000000000e+02,1.076543315028684056e-01,9.551696626602480533e-01,1.526794485577807337e-01
8.700000000000000000e+02,1.056907795211946277e-01,9.546648409650477785e-01,1.505763432718557338e-01
8.800000000000000000e+02,1.037390843268559820e-01,9.541505154513333364e-01,1.485225517259398942e-01
8.900000000000000000e+02,1.018008090997463422e-01,9.536273137283779455e-01,1.465199861501486067e-01
9.000000000000000000e+02,9.987773496171185872e-02,9.530961871333056834e-01,1.445663558533492321e-01
9.100000000000000000e+02,9.797178404946661756e-02,9.525583668336899956e-01,1.426594218227412447e-01
9.200000000000000000e+02,9.608522682498545076e-02,9.520152569127915410e-01,1.407960480251359281e-01
9.300000000000000000e+02,9.422067792776814277e-02,9.514683472396813224e-01,1.389729218199561578e-01
9.400000000000000000e+02,9.238093806663014163e-02,9.509191118337195769e-01,1.371846979835302238e-01
9.500000000000000000e+02,9.056888558988709925e-02,9.503689760549297594e-01,1.354166084166749107e-01
9.600000000000000000e+02,8.878714299205164862e-02,9.498192638924034537e-01,1.336600448915573891e-01
9.700000000000000000e+02,8.703748596018871797e-02,9.492711933744825137e-01,1.319137083912649555e-01
9.800000000000000000e+02,8.532033007266805191e-02,9.487258372969332720e-01,1.301823039853001740e-01
9.900000000000000000e+02,8.363451611009069253e-02,9.481841500530293620e-01,1.284670842932863211e-01
1.000000000000000000e+03,8.197758837897717310e-02,9.476469982655102431e-01,1.267669093296948657e-01
1.010000000000000000e+03,8.034651931022318561e-02,9.471151291276461714e-01,1.250730326773888956e-01
1.020000000000000000e+03,7.873856594159037159e-02,9.465892572626678492e-01,1.233815717374026066e-01
1.030000000000000000e+03,7.715209816944289256e-02,9.460700078776148603e-01,1.216981620034798817e-01
1.040000000000000000e+03,7.558727841812344639e-02,9.455579355285854692e-01,1.200224525027782790e-01
1.050000000000000000e+03,7.404637470077576888e-02,9.450535275409184255e-01,1.183568191744268638e-01
1.060000000000000000e+03,7.253366844012493209e-02,9.445571798980998413e-01,1.167023598281745067e-01
1.070000000000000000e+03,7.105505183445520734e-02,9.440691757711335841e-01,1.150601910640773468e-01
1.080000000000000000e+03,6.961735498747718964e-02,9.435896787484446824e-01,1.134320183966195661e-01
1.090000000000000000e+03,6.822744045108644628e-02,9.431187132572940168e-01,1.118186983248338900e-01
1.100000000000000000e+03,6.689115885000228301e-02,9.426561366837616918e-01,1.102175976137081681e-01
1.110000000000000000e+03,6.561237213669775248e-02,9.422016352499116287e-01,1.086282592429191202e-01
1.120000000000000000e+03,6.439238280194506392e-02,9.417547289879211192e-01,1.070521855917960646e-01
1.130000000000000000e+03,6.322999968866058196e-02,9.413147771909908812e-01,1.054952523782504981e-01
1.140000000000000000e+03,6.212213611232668409e-02,9.408810085142226276e-01,1.039649440802167951e-01
1.150000000000000000e+03,6.106462171187701515e-02,9.404525502395970626e-01,1.024610595819356457e-01
1.160000000000000000e+03,6.005291411359912207e-02,9.400284277746691064e-01,1.009852510716374024e-01
1.170000000000000000e+03,5.908247841969763853e-02,9.396075832716682674e-01,9.954163106765819002e-02
1.180000000000000000e+03,5.814881663280758312e-02,9.391889234285276666e-01,9.812547985985414778e-02
1.190000000000000000e+03,5.724749066810762288e-02,9.387713780328745816e-01,9.673460317383697493e-02
1.200000000000000000e+03,5.637446638059320086e-02,9.383538655964586139e-01,9.537431258371877052e-02
1.210000000000000000e+03,5.552658482463489198e-02,9.379352786650738683e-01,9.404173259614098668e-02
1.220000000000000000e+03,5.470179355340599320e-02,9.375145165944309689e-01,9.273719510404736244e-02
1.230000000000000000e+03,5.389907767502929992e-02,9.370905396858205672e-01,9.145590643900081140e-02
1.240000000000000000e+03,5.311825269890554230e-02,9.366624029942998142e-01,9.019688055835496654e-02
1.250000000000000000e+03,5.235974420490775022e-02,9.362291778914525464e-01,8.896633717127330754e-02
1.260000000000000000e+03,5.162433299080479432e-02,9.357900613529347433e-01,8.777115886189293392e-02
1.270000000000000000e+03,5.091281031173845728e-02,9.353443680954770523e-01,8.661012999604188189e-02
1.280000000000000000e+03,5.022559871521014435e-02,9.348915357979755703e-01,8.547900572191660662e-02
1.290000000000000000e+03,4.956246544086124334e-02,9.344312071658276153e-01,8.436977427239751581e-02
1.300000000000000000e+03,4.892241873446821071e-02,9.339631159590499054e-01,8.328341130879099441e-02
1.310000000000000000e+03,4.830381174838758312e-02,9.334872086646500700e-01,8.222550232846316531e-02
1.320000000000000000e+03,4.770459883099068682e-02,9.330035660763783545e-01,8.120212197924746300e-02
