training_step,loss
0.000000000000000000e+00,6.538082492742114393e-02
1.000000000000000000e+00,6.536185501415912869e-02
2.000000000000000000e+00,6.534092376114558620e-02
3.000000000000000000e+00,6.527920870131084796e-02
4.000000000000000000e+00,6.524185307651905741e-02
5.000000000000000000e+00,6.512282618462271466e-02
6.000000000000000000e+00,6.497068688787785429e-02
7.000000000000000000e+00,6.474071734826181146e-02
8.000000000000000000e+00,6.445865387298979621e-02
9.000000000000000000e+00,6.401562692981128955e-02
1.000000000000000000e+01,6.339405911658008153e-02
1.100000000000000000e+01,6.249977348102294522e-02
1.200000000000000000e+01,6.125057039770531037e-02
1.300000000000000000e+01,5.956339855487405993e-02
1.400000000000000000e+01,5.712517972466463201e-02
1.500000000000000000e+01,5.407812241416142668e-02
1.600000000000000000e+01,4.983380110935961560e-02
1.700000000000000000e+01,4.447327640202814597e-02
1.800000000000000000e+01,3.793435803643274706e-02
1.900000000000000000e+01,3.033499437814821814e-02
2.000000000000000000e+01,2.215411437673235617e-02
2.100000000000000000e+01,1.416681105462252836e-02
2.200000000000000000e+01,7.262148916436826120e-03
2.300000000000000000e+01,2.467149693963562474e-03
2.400000000000000000e+01,2.447638460295718668e-04
2.500000000000000000e+01,1.966515173009054517e-04
2.600000000000000000e+01,1.430876649671948162e-03
2.700000000000000000e+01,3.106904298347766373e-03
2.800000000000000000e+01,4.643540973868182965e-03
2.900000000000000000e+01,5.928147557967452554e-03
3.000000000000000000e+01,6.796993597298728144e-03
3.100000000000000000e+01,7.443550574228038549e-03
3.200000000000000000e+01,7.784514422857321397e-03
3.300000000000000000e+01,7.851805486563504660e-03
3.400000000000000000e+01,7.674531236856897004e-03
3.500000000000000000e+01,7.275568861368196874e-03
3.600000000000000000e+01,6.678674458315814015e-03
3.700000000000000000e+01,5.908828469140715509e-03
3.800000000000000000e+01,5.001359292659463864e-03
3.900000000000000000e+01,3.994417093530589630e-03
4.000000000000000000e+01,2.952463651600951804e-03
4.100000000000000000e+01,1.943362310081651022e-03
4.200000000000000000e+01,1.068683882845628376e-03
4.300000000000000000e+01,4.199551293970303764e-04
4.400000000000000000e+01,6.100519207236218875e-05
4.500000000000000000e+01,2.046912636161856322e-05
4.600000000000000000e+01,2.527352571789829422e-04
4.700000000000000000e+01,6.541032992799684920e-04
4.800000000000000000e+01,1.082247686249605476e-03
4.900000000000000000e+01,1.415102753295361098e-03
5.000000000000000000e+01,1.567364690253496848e-03
5.100000000000000000e+01,1.518525569910135747e-03
5.200000000000000000e+01,1.292704761903001615e-03
5.300000000000000000e+01,9.670966583002476181e-04
5.400000000000000000e+01,6.210777131693516343e-04
5.500000000000000000e+01,3.184480526826369371e-04
5.600000000000000000e+01,1.109633143493557916e-04
5.700000000000000000e+01,1.163562444463554087e-05
5.800000000000000000e+01,9.880904131597113732e-06
5.900000000000000000e+01,7.659994882499795727e-05
6.000000000000000000e+01,1.775846182230051502e-04
6.100000000000000000e+01,2.806451772119657444e-04
6.200000000000000000e+01,3.625696124909026457e-04
6.300000000000000000e+01,4.019783765776451987e-04
6.400000000000000000e+01,4.015988542744799582e-04
6.500000000000000000e+01,3.631992322924223614e-04
6.600000000000000000e+01,2.949259932292717500e-04
6.700000000000000000e+01,2.125956529014762849e-04
6.800000000000000000e+01,1.309554374709798337e-04
6.900000000000000000e+01,6.308297079079557392e-05
7.000000000000000000e+01,1.844629080492913754e-05
7.100000000000000000e+01,4.162967102575725736e-07
7.200000000000000000e+01,7.203886195623807337e-06
7.300000000000000000e+01,3.082975623874770210e-05
7.400000000000000000e+01,6.143413598910330096e-05
7.500000000000000000e+01,8.910905133994897857e-05
7.600000000000000000e+01,1.057640356682081458e-04
7.700000000000000000e+01,1.074906163297697343e-04
7.800000000000000000e+01,9.547113441115925338e-05
7.900000000000000000e+01,7.319250709861399497e-05
8.000000000000000000e+01,4.786213776267110668e-05
8.100000000000000000e+01,2.483144897481855565e-05
8.200000000000000000e+01,8.502114888240152574e-06
8.300000000000000000e+01,7.327747559451648973e-07
8.400000000000000000e+01,9.554274019769241478e-07
8.500000000000000000e+01,7.106335795512712833e-06
8.600000000000000000e+01,1.602839129099995044e-05
8.700000000000000000e+01,2.408214516791325424e-05
8.800000000000000000e+01,2.937483064933235123e-05
8.900000000000000000e+01,3.078983086740327303e-05
9.000000000000000000e+01,2.817122287543743388e-05
9.100000000000000000e+01,2.263201540718887394e-05
9.200000000000000000e+01,1.571438411487398429e-05
9.300000000000000000e+01,8.565888894393907762e-06
9.400000000000000000e+01,3.137825564746880443e-06
9.500000000000000000e+01,4.272642440347108463e-07
9.600000000000000000e+01,1.385645984156238946e-07
9.700000000000000000e+01,1.728982508186408612e-06
9.800000000000000000e+01,4.412636772277289671e-06
9.900000000000000000e+01,6.991637530643354224e-06
1.000000000000000000e+02,8.629047617173774028e-06
1.010000000000000000e+02,9.068143347066823549e-06
1.020000000000000000e+02,8.178957857815557917e-06
1.030000000000000000e+02,6.249366504391612428e-06
1.040000000000000000e+02,4.035368612668095123e-06
1.050000000000000000e+02,1.922613962179629914e-06
1.060000000000000000e+02,5.642711880313150508e-07
1.070000000000000000e+02,1.341434137684115127e-08
1.080000000000000000e+02,1.892825176738753880e-07
1.090000000000000000e+02,8.312944791947870544e-07
1.100000000000000000e+02,1.654930379134438748e-06
1.110000000000000000e+02,2.345359314978135045e-06
1.120000000000000000e+02,2.701327894445496178e-06
1.130000000000000000e+02,2.615989971858396492e-06
1.140000000000000000e+02,2.160178707398984314e-06
1.150000000000000000e+02,1.520039822065966172e-06
1.160000000000000000e+02,8.751726771098117772e-07
1.170000000000000000e+02,3.538288264446158151e-07
1.180000000000000000e+02,6.388654813340221965e-08
1.190000000000000000e+02,7.387948174167461892e-09
1.200000000000000000e+02,1.521717793676317942e-07
1.210000000000000000e+02,4.102254308925083268e-07
1.220000000000000000e+02,6.523679666958929852e-07
1.230000000000000000e+02,8.085509943505695494e-07
1.240000000000000000e+02,8.346743827221939058e-07
1.250000000000000000e+02,7.191642173872284571e-07
1.260000000000000000e+02,5.500451817922229485e-07
1.270000000000000000e+02,3.234516514006730089e-07
1.280000000000000000e+02,1.365995511998799809e-07
1.290000000000000000e+02,2.666268243335369902e-08
1.300000000000000000e+02,1.401759903226449511e-09
1.310000000000000000e+02,4.208033483412902651e-08
