training_step,loss
1.320000000000000000e+02,1.156998828139954388e-07
1.330000000000000000e+02,1.932589455486833620e-07
1.340000000000000000e+02,2.499818721007975364e-07
1.350000000000000000e+02,2.579087612974526826e-07
1.360000000000000000e+02,2.254756257313807260e-07
1.370000000000000000e+02,1.725614148075989566e-07
1.380000000000000000e+02,1.025659139346857253e-07
1.390000000000000000e+02,4.367579978837011770e-08
1.400000000000000000e+02,1.007176631598342146e-08
1.410000000000000000e+02,1.381369183541564409e-10
1.420000000000000000e+02,1.294537462585309139e-08
1.430000000000000000e+02,3.974759798761923427e-08
1.440000000000000000e+02,6.809885205618737370e-08
1.450000000000000000e+02,8.348291267857113595e-08
1.460000000000000000e+02,8.521165627794630965e-08
1.470000000000000000e+02,7.462857488047031661e-08
1.480000000000000000e+02,5.224579151121593531e-08
1.490000000000000000e+02,2.947425596911182387e-08
