epoch,loss,training_field
7.200000000000000000e+01,6.906646798560788334e-07,5.000000000000000000e-01
7.300000000000000000e+01,1.641049983510344959e-06,5.000000000000000000e-01
7.400000000000000000e+01,1.408128867158248747e-06,5.000000000000000000e-01
7.500000000000000000e+01,4.016027181928078424e-07,5.000000000000000000e-01
7.600000000000000000e+01,1.328434340480650366e-08,5.000000000000000000e-01
7.700000000000000000e+01,5.559093152712318706e-07,5.000000000000000000e-01
7.800000000000000000e+01,1.043260201321340769e-06,5.000000000000000000e-01
7.900000000000000000e+01,7.548309654889975699e-07,5.000000000000000000e-01
8.000000000000000000e+01,1.475863460987839932e-07,5.000000000000000000e-01
8.100000000000000000e+01,4.473140959331240707e-08,5.000000000000000000e-01
8.200000000000000000e+01,4.436827840145987193e-07,5.000000000000000000e-01
8.300000000000000000e+01,6.451694322579057072e-07,5.000000000000000000e-01
8.400000000000000000e+01,3.520902304084491459e-07,5.000000000000000000e-01
8.500000000000000000e+01,2.438176508097893131e-08,5.000000000000000000e-01
8.600000000000000000e+01,9.235466053003738455e-08,5.000000000000000000e-01
8.700000000000000000e+01,3.509728632854471203e-07,5.000000000000000000e-01
8.800000000000000000e+01,3.661742189354573145e-07,5.000000000000000000e-01
8.900000000000000000e+01,1.306324513584078001e-07,5.000000000000000000e-01
9.000000000000000000e+01,1.827610224017672646e-10,5.000000000000000000e-01
9.100000000000000000e+01,1.210101715437068038e-07,5.000000000000000000e-01
9.200000000000000000e+01,2.497816557638300908e-07,5.000000000000000000e-01
9.300000000000000000e+01,1.755728750142551176e-07,5.000000000000000000e-01
9.400000000000000000e+01,2.629743113604662918e-08,5.000000000000000000e-01
9.500000000000000000e+01,1.999174738753704523e-08,5.000000000000000000e-01
9.600000000000000000e+01,1.246496063159964353e-07,5.000000000000000000e-01
9.700000000000000000e+01,1.509577932340966507e-07,5.000000000000000000e-01
9.800000000000000000e+01,6.148440523937427359e-08,5.000000000000000000e-01
9.900000000000000000e+01,9.025914933520898515e-11,5.000000000000000000e-01
1.000000000000000000e+02,4.444904676079341728e-08,5.000000000000000000e-01
1.010000000000000000e+02,9.878368951969595616e-08,5.000000000000000000e-01
1.020000000000000000e+02,6.982019577406203010e-08,5.000000000000000000e-01
1.030000000000000000e+02,9.529901911347190984e-09,5.000000000000000000e-01
1.040000000000000000e+02,9.605580134277674989e-09,5.000000000000000000e-01
1.050000000000000000e+02,5.262837912566459528e-08,5.000000000000000000e-01
1.060000000000000000e+02,5.848314321841936106e-08,5.000000000000000000e-01
1.070000000000000000e+02,1.971613242226365405e-08,5.000000000000000000e-01
1.080000000000000000e+02,3.037712983484871995e-10,5.000000000000000000e-01
1.090000000000000000e+02,2.308663308032549660e-08,5.000000000000000000e-01
1.100000000000000000e+02,4.057254669706067144e-08,5.000000000000000000e-01
1.110000000000000000e+02,2.252559167941457140e-08,5.000000000000000000e-01
1.120000000000000000e+02,1.000237159941462099e-09,5.000000000000000000e-01
1.130000000000000000e+02,8.219160163787398085e-09,5.000000000000000000e-01
1.140000000000000000e+02,2.476411205375631592e-08,5.000000000000000000e-01
1.150000000000000000e+02,1.999360005346087666e-08,5.000000000000000000e-01
1.160000000000000000e+02,3.373676029691728576e-09,5.000000000000000000e-01
1.170000000000000000e+02,2.089217760475252793e-09,5.000000000000000000e-01
1.180000000000000000e+02,1.371595778396168424e-08,5.000000000000000000e-01
1.190000000000000000e+02,1.530478522856313360e-08,5.000000000000000000e-01
1.200000000000000000e+02,4.648537606452322917e-09,5.000000000000000000e-01
1.210000000000000000e+02,2.576807460048759582e-10,5.000000000000000000e-01
1.220000000000000000e+02,7.112776531573356223e-09,5.000000000000000000e-01
1.230000000000000000e+02,1.069635533692692516e-08,5.000000000000000000e-01
1.240000000000000000e+02,4.692647385983096462e-09,5.000000000000000000e-01
1.250000000000000000e+02,4.766316525319881248e-12,5.000000000000000000e-01
1.260000000000000000e+02,3.471394422185333202e-09,5.000000000000000000e-01
1.270000000000000000e+02,7.047982475740979561e-09,5.000000000000000000e-01
1.280000000000000000e+02,4.015105517265806703e-09,5.000000000000000000e-01
1.290000000000000000e+02,1.444057442166708569e-10,5.000000000000000000e-01
1.300000000000000000e+02,1.643032808250607063e-09,5.000000000000000000e-01
1.310000000000000000e+02,4.494261848187956973e-09,5.000000000000000000e-01
1.320000000000000000e+02,3.127537988056351874e-09,5.000000000000000000e-01
1.330000000000000000e+02,2.700342162063001899e-10,5.000000000000000000e-01
1.340000000000000000e+02,7.698639542248160705e-10,5.000000000000000000e-01
1.350000000000000000e+02,2.803481673148500167e-09,5.000000000000000000e-01
1.360000000000000000e+02,2.271820312802117394e-09,5.000000000000000000e-01
1.370000000000000000e+02,3.096019616980156202e-10,5.000000000000000000e-01
1.380000000000000000e+02,3.624912704552764640e-10,5.000000000000000000e-01
1.390000000000000000e+02,1.761134311836270925e-09,5.000000000000000000e-01
1.400000000000000000e+02,1.602819901112712423e-09,5.000000000000000000e-01
1.410000000000000000e+02,2.751007194205452087e-10,5.000000000000000000e-01
1.420000000000000000e+02,1.810725315012944526e-10,5.000000000000000000e-01
1.430000000000000000e+02,1.113533433869494407e-09,5.000000000000000000e-01
1.440000000000000000e+02,1.093319245448112846e-09,5.000000000000000000e-01
1.450000000000000000e+02,2.142030387329075136e-10,5.000000000000000000e-01
1.460000000000000000e+02,1.007117590141771208e-10,5.000000000000000000e-01
1.470000000000000000e+02,7.190707848578656189e-10,5.000000000000000000e-01
1.480000000000000000e+02,7.328011875040146784e-10,5.000000000000000000e-01
1.490000000000000000e+02,1.488999949298142949e-10,5.000000000000000000e-01
1.500000000000000000e+02,6.376618362661629122e-11,5.000000000000000000e-01
1.510000000000000000e+02,4.746282958031150315e-10,5.000000000000000000e-01
1.520000000000000000e+02,4.826298452964666490e-10,5.000000000000000000e-01
1.530000000000000000e+02,9.428092481801691185e-11,5.000000000000000000e-01
1.540000000000000000e+02,4.700677665584503254e-11,5.000000000000000000e-01
1.550000000000000000e+02,3.197402475707053209e-10,5.000000000000000000e-01
1.560000000000000000e+02,3.115518980643489872e-10,5.000000000000000000e-01
1.570000000000000000e+02,5.471113796068958103e-11,5.000000000000000000e-01
1.580000000000000000e+02,3.775035304165036855e-11,5.000000000000000000e-01
1.590000000000000000e+02,2.206946157814948304e-10,5.000000000000000000e-01
1.600000000000000000e+02,1.991317772020347544e-10,5.000000000000000000e-01
1.610000000000000000e+02,2.731941170365320640e-11,5.000000000000000000e-01
1.620000000000000000e+02,3.324738489297882073e-11,5.000000000000000000e-01
1.630000000000000000e+02,1.525033728855609246e-10,5.000000000000000000e-01
1.640000000000000000e+02,1.226505348380467890e-10,5.000000000000000000e-01
1.650000000000000000e+02,1.188474636843144534e-11,5.000000000000000000e-01
1.660000000000000000e+02,3.003955868294343333e-11,5.000000000000000000e-01
1.670000000000000000e+02,1.070360305651511803e-10,5.000000000000000000e-01
1.680000000000000000e+02,7.365198162750961578e-11,5.000000000000000000e-01
1.690000000000000000e+02,3.368431995823530312e-12,5.000000000000000000e-01
1.700000000000000000e+02,2.792918914393298844e-11,5.000000000000000000e-01
1.710000000000000000e+02,7.390938588599989465e-11,5.000000000000000000e-01
1.720000000000000000e+02,4.088011397075321985e-11,5.000000000000000000e-01
1.730000000000000000e+02,3.427130247477557960e-13,5.000000000000000000e-01
1.740000000000000000e+02,2.534100324893763738e-11,5.000000000000000000e-01
1.750000000000000000e+02,5.030614933799388104e-11,5.000000000000000000e-01
1.760000000000000000e+02,2.078751129498586184e-11,5.000000000000000000e-01
1.770000000000000000e+02,2.162373766416521027e-13,5.000000000000000000e-01
1.780000000000000000e+02,2.235139270768476486e-11,5.000000000000000000e-01
1.790000000000000000e+02,3.161913197812624221e-11,5.000000000000000000e-01
1.800000000000000000e+02,9.247161999259088805e-12,5.000000000000000000e-01
1.810000000000000000e+02,1.417801790284421510e-12,5.000000000000000000e-01
1.820000000000000000e+02,1.828934259694989184e-11,5.000000000000000000e-01
1.830000000000000000e+02,1.942855843134521369e-11,5.000000000000000000e-01
1.840000000000000000e+02,3.168705246414184787e-12,5.000000000000000000e-01
1.850000000000000000e+02,2.883985558295129114e-12,5.000000000000000000e-01
1.860000000000000000e+02,1.420573573361270467e-11,5.000000000000000000e-01
1.870000000000000000e+02,1.072960898981747309e-11,5.000000000000000000e-01
1.880000000000000000e+02,6.344443941083437721e-13,5.000000000000000000e-01
1.890000000000000000e+02,3.916879583369451731e-12,5.000000000000000000e-01
1.900000000000000000e+02,1.030842555807009703e-11,5.000000000000000000e-01
1.910000000000000000e+02,5.312553650210291792e-12,5.000000000000000000e-01
1.920000000000000000e+02,6.027711179637609989e-17,5.000000000000000000e-01
1.930000000000000000e+02,4.278159815885188100e-12,5.000000000000000000e-01
1.940000000000000000e+02,6.812172568947359428e-12,5.000000000000000000e-01
1.950000000000000000e+02,2.024860655116980758e-12,5.000000000000000000e-01
1.960000000000000000e+02,3.152535078101925377e-13,5.000000000000000000e-01
1.970000000000000000e+02,3.987650532772032099e-12,5.000000000000000000e-01
1.980000000000000000e+02,3.980642892971846948e-12,5.000000000000000000e-01
1.990000000000000000e+02,4.570460738677510097e-13,5.000000000000000000e-01
2.000000000000000000e+02,8.521642517054140872e-13,5.000000000000000000e-01
2.010000000000000000e+02,3.112484704893895317e-12,5.000000000000000000e-01
2.020000000000000000e+02,1.900036605002587715e-12,5.000000000000000000e-01
2.030000000000000000e+02,1.680448477541656549e-14,5.000000000000000000e-01
2.040000000000000000e+02,1.172490252735344041e-12,5.000000000000000000e-01
2.050000000000000000e+02,2.168332497702886461e-12,5.000000000000000000e-01
2.060000000000000000e+02,6.941633365891587833e-13,5.000000000000000000e-01
2.070000000000000000e+02,7.741891131739942237e-14,5.000000000000000000e-01
2.080000000000000000e+02,1.222925362224792677e-12,5.000000000000000000e-01
2.090000000000000000e+02,1.242708479897238999e-12,5.000000000000000000e-01
2.100000000000000000e+02,1.385273597720038373e-13,5.000000000000000000e-01
2.110000000000000000e+02,3.011408470903601392e-13,5.000000000000000000e-01
2.120000000000000000e+02,9.820306631069344704e-13,5.000000000000000000e-01
2.130000000000000000e+02,5.417285436035982429e-13,5.000000000000000000e-01
2.140000000000000000e+02,2.513322921948271522e-16,5.000000000000000000e-01
2.150000000000000000e+02,4.210505588171650035e-13,5.000000000000000000e-01
2.160000000000000000e+02,6.590657004923670210e-13,5.000000000000000000e-01
2.170000000000000000e+02,1.597927999968869852e-13,5.000000000000000000e-01
2.180000000000000000e+02,5.926102573013485858e-14,5.000000000000000000e-01
2.190000000000000000e+02,4.253059154499246255e-13,5.000000000000000000e-01
2.200000000000000000e+02,3.377346273691365145e-13,5.000000000000000000e-01
2.210000000000000000e+02,1.097412163086730586e-14,5.000000000000000000e-01
2.220000000000000000e+02,1.499425872427180463e-13,5.000000000000000000e-01
2.230000000000000000e+02,3.220125126670028326e-13,5.000000000000000000e-01
2.240000000000000000e+02,1.114998506550122059e-13,5.000000000000000000e-01
2.250000000000000000e+02,1.079936069929086798e-14,5.000000000000000000e-01
2.260000000000000000e+02,1.902114452239262993e-13,5.000000000000000000e-01
2.270000000000000000e+02,1.809571950805925794e-13,5.000000000000000000e-01
2.280000000000000000e+02,1.244424885224800156e-14,5.000000000000000000e-01
2.290000000000000000e+02,5.757173125067935773e-14,5.000000000000000000e-01
2.300000000000000000e+02,1.545469314287444492e-13,5.000000000000000000e-01
2.310000000000000000e+02,6.353363143691938877e-14,5.000000000000000000e-01
2.320000000000000000e+02,2.197063004608969242e-15,5.000000000000000000e-01
2.330000000000000000e+02,8.729811125790937370e-14,5.000000000000000000e-01
2.340000000000000000e+02,9.208505016725119375e-14,5.000000000000000000e-01
2.350000000000000000e+02,7.804517471001594326e-15,5.000000000000000000e-01
2.360000000000000000e+02,2.482333428759022500e-14,5.000000000000000000e-01
2.370000000000000000e+02,7.437392552324541438e-14,5.000000000000000000e-01
2.380000000000000000e+02,3.209347879315024861e-14,5.000000000000000000e-01
2.390000000000000000e+02,7.153526715820795674e-16,5.000000000000000000e-01
2.400000000000000000e+02,4.227531394044068168e-14,5.000000000000000000e-01
2.410000000000000000e+02,4.519673881852157002e-14,5.000000000000000000e-01
