epoch,loss
0.000000000000e+00,1.965395829272e-01
1.000000000000e+00,1.914041152855e-01
2.000000000000e+00,1.551804085836e-01
3.000000000000e+00,8.389615226084e-02
4.000000000000e+00,1.288825871843e-02
5.000000000000e+00,1.306070663014e-02
6.000000000000e+00,3.793155881809e-02
7.000000000000e+00,5.163703679888e-02
8.000000000000e+00,5.448119631842e-02
9.000000000000e+00,4.969967111870e-02
1.000000000000e+01,3.974767634091e-02
1.100000000000e+01,2.677231717966e-02
1.200000000000e+01,1.369436105315e-02
1.300000000000e+01,5.248337127787e-03
1.400000000000e+01,7.066429011865e-03
1.500000000000e+01,1.550192253327e-02
1.600000000000e+01,1.628360789572e-02
1.700000000000e+01,9.700994766491e-03
1.800000000000e+01,4.710363438367e-03
1.900000000000e+01,5.480051451778e-03
2.000000000000e+01,9.059288307834e-03
2.100000000000e+01,1.147566028588e-02
2.200000000000e+01,1.094294945822e-02
2.300000000000e+01,8.116387867911e-03
2.400000000000e+01,5.137106646832e-03
2.500000000000e+01,4.383065493858e-03
2.600000000000e+01,6.294384300307e-03
2.700000000000e+01,8.218344899163e-03
2.800000000000e+01,7.714029899115e-03
2.900000000000e+01,5.602163353549e-03
3.000000000000e+01,4.267670059369e-03
3.100000000000e+01,4.739655597127e-03
3.200000000000e+01,5.879147082972e-03
3.300000000000e+01,6.466114965003e-03
3.400000000000e+01,6.039148080173e-03
3.500000000000e+01,5.156392971631e-03
3.600000000000e+01,4.262795268914e-03
3.700000000000e+01,4.241489539467e-03
3.800000000000e+01,4.828737660690e-03
3.900000000000e+01,5.150298603193e-03
4.000000000000e+01,4.689034494522e-03
4.100000000000e+01,4.108604777202e-03
4.200000000000e+01,4.209456663489e-03
4.300000000000e+01,4.625703034349e-03
4.400000000000e+01,4.634633984882e-03
4.500000000000e+01,4.259360873159e-03
4.600000000000e+01,3.983954083110e-03
4.700000000000e+01,4.082065373589e-03
4.800000000000e+01,4.283641149426e-03
4.900000000000e+01,4.209633562438e-03
5.000000000000e+01,3.974495001600e-03
5.100000000000e+01,3.928594296466e-03
5.200000000000e+01,4.066118057361e-03
5.300000000000e+01,4.110712001939e-03
5.400000000000e+01,3.974472538849e-03
5.500000000000e+01,3.854150319669e-03
5.600000000000e+01,3.898646669080e-03
5.700000000000e+01,3.971592313295e-03
5.800000000000e+01,3.907949231123e-03
5.900000000000e+01,3.803358170430e-03
6.000000000000e+01,3.805912543718e-03
6.100000000000e+01,3.858424425533e-03
6.200000000000e+01,3.833111742879e-03
6.300000000000e+01,3.751763144637e-03
6.400000000000e+01,3.726250264338e-03
6.500000000000e+01,3.756744171764e-03
6.600000000000e+01,3.744699970381e-03
6.700000000000e+01,3.684053743431e-03
6.800000000000e+01,3.657798066867e-03
6.900000000000e+01,3.672507799952e-03
7.000000000000e+01,3.660041953789e-03
7.100000000000e+01,3.611604353434e-03
7.200000000000e+01,3.583743867239e-03
7.300000000000e+01,3.585762180862e-03
7.400000000000e+01,3.568915377279e-03
7.500000000000e+01,3.528013749509e-03
7.600000000000e+01,3.504672770314e-03
7.700000000000e+01,3.498665298484e-03
7.800000000000e+01,3.474857363690e-03
7.900000000000e+01,3.436793951930e-03
8.000000000000e+01,3.413525857061e-03
8.100000000000e+01,3.398551734568e-03
8.200000000000e+01,3.367903321838e-03
8.300000000000e+01,3.332477417705e-03
8.400000000000e+01,3.309413809690e-03
8.500000000000e+01,3.284454264230e-03
8.600000000000e+01,3.246536964650e-03
8.700000000000e+01,3.210913205486e-03
8.800000000000e+01,3.182307443880e-03
8.900000000000e+01,3.145440360463e-03
9.000000000000e+01,3.102136625020e-03
9.100000000000e+01,3.064155167074e-03
9.200000000000e+01,3.023493674483e-03
9.300000000000e+01,2.973584101615e-03
9.400000000000e+01,2.924812511987e-03
9.500000000000e+01,2.877752031155e-03
9.600000000000e+01,2.817742467192e-03
9.700000000000e+01,2.763640947634e-03
9.800000000000e+01,2.699441089087e-03
9.900000000000e+01,2.630932852936e-03
1.000000000000e+02,2.559350739090e-03
1.010000000000e+02,2.477916196949e-03
1.020000000000e+02,2.391038476881e-03
1.030000000000e+02,2.297231043149e-03
1.040000000000e+02,2.190755180814e-03
1.050000000000e+02,2.079277324548e-03
1.060000000000e+02,1.948142854749e-03
1.070000000000e+02,1.810127502910e-03
1.080000000000e+02,1.653012466779e-03
1.090000000000e+02,1.474232704373e-03
1.100000000000e+02,1.285054002302e-03
1.110000000000e+02,1.092456187271e-03
1.120000000000e+02,9.436301515204e-04
1.130000000000e+02,1.179485006263e-03
1.140000000000e+02,1.781222523486e-03
1.150000000000e+02,1.562449695034e-03
1.160000000000e+02,5.697825922452e-04
1.170000000000e+02,1.832492274319e-03
1.180000000000e+02,7.879626757232e-04
1.190000000000e+02,1.433169660215e-03
1.200000000000e+02,5.091876665622e-04
1.210000000000e+02,1.423830561820e-03
1.220000000000e+02,6.495067978958e-04
1.230000000000e+02,7.993426931477e-04
1.240000000000e+02,6.890009147462e-04
1.250000000000e+02,3.739420869077e-04
1.260000000000e+02,6.967610108667e-04
1.270000000000e+02,2.012450809739e-04
1.280000000000e+02,8.363905546476e-04
1.290000000000e+02,4.226314212476e-04
1.300000000000e+02,2.316016697705e-04
1.310000000000e+02,7.699343968333e-04
1.320000000000e+02,2.723977412793e-04
1.330000000000e+02,3.546758505535e-04
1.340000000000e+02,4.438260484323e-04
1.350000000000e+02,6.530042228962e-05
1.360000000000e+02,3.189587280306e-04
1.370000000000e+02,7.314564309109e-05
1.380000000000e+02,2.248002922884e-04
1.390000000000e+02,1.839287321434e-04
1.400000000000e+02,1.245789334110e-04
1.410000000000e+02,2.308193440216e-04
1.420000000000e+02,5.977226935334e-05
1.430000000000e+02,2.076475905948e-04
1.440000000000e+02,5.610567787873e-05
1.450000000000e+02,1.684670948958e-04
1.460000000000e+02,9.774114465588e-05
1.470000000000e+02,1.093027363545e-04
1.480000000000e+02,1.218267987130e-04
1.490000000000e+02,6.302555435472e-05
1.500000000000e+02,1.236433040081e-04
1.510000000000e+02,5.087384884053e-05
1.520000000000e+02,1.162290515217e-04
1.530000000000e+02,5.408177976527e-05
1.540000000000e+02,8.825574346743e-05
1.550000000000e+02,6.333667981055e-05
1.560000000000e+02,6.620954035609e-05
1.570000000000e+02,7.313004244372e-05
1.580000000000e+02,5.341306373474e-05
1.590000000000e+02,7.505411856164e-05
1.600000000000e+02,4.427420256060e-05
1.610000000000e+02,6.797969551971e-05
1.620000000000e+02,9.558220838575e-05
1.630000000000e+02,5.171800275791e-05
1.640000000000e+02,9.507249332843e-05
1.650000000000e+02,4.952120540430e-05
1.660000000000e+02,8.070530329517e-05
1.670000000000e+02,6.069619555082e-05
1.680000000000e+02,5.635782305244e-05
1.690000000000e+02,7.142270250950e-05
1.700000000000e+02,4.291409062448e-05
1.710000000000e+02,6.488112039429e-05
1.720000000000e+02,4.857096037339e-05
1.730000000000e+02,4.890555245817e-05
1.740000000000e+02,5.713150973805e-05
1.750000000000e+02,3.962144131145e-05
1.760000000000e+02,5.376964938079e-05
1.770000000000e+02,4.496408694032e-05
1.780000000000e+02,3.945954810714e-05
1.790000000000e+02,4.997109118583e-05
1.800000000000e+02,3.811038126865e-05
1.810000000000e+02,4.033551436718e-05
1.820000000000e+02,4.398554956718e-05
1.830000000000e+02,3.443380529456e-05
1.840000000000e+02,3.837650186087e-05
1.850000000000e+02,3.832589443877e-05
1.860000000000e+02,3.199128854042e-05
1.870000000000e+02,3.602532773504e-05
1.880000000000e+02,3.568995225755e-05
1.890000000000e+02,3.054475283728e-05
1.900000000000e+02,3.249593204750e-05
1.910000000000e+02,3.285926674779e-05
1.920000000000e+02,2.889127294823e-05
1.930000000000e+02,2.922036737631e-05
1.940000000000e+02,3.055930725043e-05
1.950000000000e+02,2.795115562274e-05
1.960000000000e+02,2.648415344220e-05
1.970000000000e+02,2.771585872345e-05
1.980000000000e+02,2.693497015217e-05
1.990000000000e+02,2.467190220704e-05
2.000000000000e+02,2.457280348815e-05
2.010000000000e+02,2.521475586734e-05
2.020000000000e+02,2.400529094612e-05
2.030000000000e+02,2.234914007522e-05
2.040000000000e+02,2.229996531942e-05
2.050000000000e+02,2.159420921487e-05
2.060000000000e+02,2.084137175394e-05
2.070000000000e+02,2.031483639184e-05
2.080000000000e+02,1.999673648469e-05
2.090000000000e+02,1.956737170860e-05
2.100000000000e+02,1.889366470892e-05
2.110000000000e+02,1.829278481105e-05
2.120000000000e+02,1.775212329331e-05
2.130000000000e+02,1.707912315495e-05
2.140000000000e+02,2.223548653587e-05
2.150000000000e+02,3.156946116137e-05
2.160000000000e+02,2.822592493045e-05
2.170000000000e+02,1.946162911905e-05
2.180000000000e+02,1.646274644244e-05
2.190000000000e+02,2.116876774835e-05
2.200000000000e+02,2.679995173646e-05
2.210000000000e+02,2.764243864204e-05
2.220000000000e+02,2.627281211172e-04
2.230000000000e+02,3.582076897395e-04
2.240000000000e+02,4.530490924708e-04
2.250000000000e+02,1.588415283153e-04
2.260000000000e+02,1.689936505512e-05
2.270000000000e+02,1.052142390200e-04
2.280000000000e+02,1.395775541230e-04
2.290000000000e+02,6.325461449552e-05
2.300000000000e+02,3.061474309310e-05
2.310000000000e+02,1.001348715214e-04
2.320000000000e+02,9.151175571009e-05
2.330000000000e+02,1.405792629790e-05
2.340000000000e+02,6.802244611331e-05
2.350000000000e+02,1.540572540117e-04
2.360000000000e+02,8.633404530240e-05
2.370000000000e+02,2.056576573343e-05
2.380000000000e+02,4.035246462160e-05
2.390000000000e+02,3.909910651496e-05
2.400000000000e+02,1.771628439060e-05
2.410000000000e+02,3.027708822569e-05
2.420000000000e+02,3.470328301546e-05
2.430000000000e+02,1.836175257867e-05
2.440000000000e+02,2.057181488916e-05
2.450000000000e+02,2.674672231869e-05
2.460000000000e+02,1.626204280232e-05
2.470000000000e+02,1.412622129040e-05
2.480000000000e+02,2.267356576412e-05
2.490000000000e+02,4.260096560211e-05
2.500000000000e+02,2.958304363157e-05
2.510000000000e+02,3.202581230197e-05
2.520000000000e+02,1.883289510414e-05
2.530000000000e+02,1.436798412732e-05
2.540000000000e+02,1.916334611069e-05
2.550000000000e+02,2.241382829387e-05
2.560000000000e+02,1.731218136491e-05
2.570000000000e+02,1.536809463341e-05
2.580000000000e+02,1.677829212918e-05
2.590000000000e+02,1.333438382155e-05
2.600000000000e+02,9.587777741484e-06
2.610000000000e+02,1.120489741341e-05
2.620000000000e+02,2.958754418327e-05
2.630000000000e+02,3.139590603512e-05
2.640000000000e+02,5.016284189846e-05
2.650000000000e+02,6.615089793800e-05
2.660000000000e+02,5.010715801769e-05
2.670000000000e+02,1.715714223912e-05
2.680000000000e+02,4.621452925492e-05
2.690000000000e+02,7.354403469350e-05
2.700000000000e+02,3.570891876111e-05
2.710000000000e+02,1.912333523767e-05
2.720000000000e+02,4.175894236995e-05
2.730000000000e+02,4.485367868396e-05
2.740000000000e+02,2.645757225879e-05
2.750000000000e+02,1.403653716627e-05
2.760000000000e+02,2.532862473533e-05
2.770000000000e+02,3.915797481154e-05
2.780000000000e+02,2.915779232303e-05
2.790000000000e+02,1.428494887831e-05
2.800000000000e+02,9.100365108671e-06
2.810000000000e+02,1.532292805133e-05
2.820000000000e+02,1.848003964882e-05
2.830000000000e+02,1.097333079053e-05
2.840000000000e+02,5.694735825749e-06
2.850000000000e+02,8.430295516146e-06
2.860000000000e+02,1.109263853423e-05
2.870000000000e+02,8.125513566776e-06
2.880000000000e+02,5.334855347397e-04
2.890000000000e+02,1.318455520546e-03
2.900000000000e+02,1.590745077906e-04
2.910000000000e+02,7.067002066350e-04
2.920000000000e+02,1.918169428140e-03
2.930000000000e+02,1.211274443059e-04
2.940000000000e+02,1.892828066962e-03
2.950000000000e+02,3.040681645927e-03
2.960000000000e+02,1.321740526466e-03
2.970000000000e+02,3.374151262824e-03
2.980000000000e+02,4.810903897827e-04
2.990000000000e+02,1.928708452277e-03
3.000000000000e+02,2.110542605954e-04
3.010000000000e+02,1.670183393753e-03
