time_ps,raw_memory_ps2,fitted_memory_ps2
6.000000000000e-02,7.619724075731e+00,7.619571699604e+00
6.100000000000e-02,7.566480335405e+00,7.566337221892e+00
6.200000000000e-02,7.512950490440e+00,7.512816270369e+00
6.300000000000e-02,7.459152013379e+00,7.459027011478e+00
6.400000000000e-02,7.405103740730e+00,7.404987483879e+00
6.500000000000e-02,7.350822793002e+00,7.350715550799e+00
6.600000000000e-02,7.296327437315e+00,7.296228950312e+00
6.700000000000e-02,7.241635366168e+00,7.241545002995e+00
6.800000000000e-02,7.186762329831e+00,7.186680588520e+00
6.900000000000e-02,7.131725720970e+00,7.131652756345e+00
7.000000000000e-02,7.076543535779e+00,7.076478534654e+00
7.100000000000e-02,7.021231118204e+00,7.021174444474e+00
7.200000000000e-02,6.965805652304e+00,6.965756589124e+00
7.300000000000e-02,6.910282128394e+00,6.910240464692e+00
7.400000000000e-02,6.854675058494e+00,6.854641207678e+00
7.500000000000e-02,6.799000606986e+00,6.798973850339e+00
7.600000000000e-02,6.743272547389e+00,6.743252990266e+00
7.700000000000e-02,6.687505504783e+00,6.687492885594e+00
7.800000000000e-02,6.631713043311e+00,6.631707736984e+00
7.900000000000e-02,6.575910069876e+00,6.575911817447e+00
8.000000000000e-02,6.520110800458e+00,6.520119044942e+00
8.100000000000e-02,6.464328100770e+00,6.464342620593e+00
8.200000000000e-02,6.408574331095e+00,6.408595381011e+00
8.300000000000e-02,6.352862636512e+00,6.352890215447e+00
8.400000000000e-02,6.297206478098e+00,6.297239702984e+00
8.500000000000e-02,6.241616666324e+00,6.241655659557e+00
8.600000000000e-02,6.186105018129e+00,6.186149437483e+00
8.700000000000e-02,6.130682010952e+00,6.130732293766e+00
8.800000000000e-02,6.075359635643e+00,6.075415597416e+00
8.900000000000e-02,6.020149544968e+00,6.020210343905e+00
9.000000000000e-02,5.965060916925e+00,5.965126808204e+00
9.100000000000e-02,5.910104097542e+00,5.910175082796e+00
9.200000000000e-02,5.855289220604e+00,5.855365321897e+00
9.300000000000e-02,5.800626816175e+00,5.800707401971e+00
9.400000000000e-02,5.746125624721e+00,5.746210598710e+00
9.500000000000e-02,5.691794215716e+00,5.691883942396e+00
9.600000000000e-02,5.637642495956e+00,5.637736422121e+00
9.700000000000e-02,5.583678857822e+00,5.583776503799e+00
9.800000000000e-02,5.529910107712e+00,5.530012337163e+00
9.900000000000e-02,5.476346213955e+00,5.476452170811e+00
1.000000000000e-01,5.422994357556e+00,5.423103757121e+00
1.010000000000e-01,5.369861013634e+00,5.369974517525e+00
1.020000000000e-01,5.316954863980e+00,5.317072062283e+00
1.030000000000e-01,5.264283406843e+00,5.264403630889e+00
1.040000000000e-01,5.211852185009e+00,5.211975845907e+00
1.050000000000e-01,5.159668600229e+00,5.159795050473e+00
1.060000000000e-01,5.107737835589e+00,5.107867186453e+00
1.070000000000e-01,5.056066005234e+00,5.056197824839e+00
1.080000000000e-01,5.004657562744e+00,5.004792407665e+00
1.090000000000e-01,4.953519018695e+00,4.953656471736e+00
1.100000000000e-01,4.902655490213e+00,4.902795312055e+00
1.110000000000e-01,4.852071508992e+00,4.852213888612e+00
1.120000000000e-01,4.801772582235e+00,4.801916913477e+00
1.130000000000e-01,4.751762192591e+00,4.751908738052e+00
1.140000000000e-01,4.702045008314e+00,4.702193586741e+00
1.150000000000e-01,4.652624961875e+00,4.652775674267e+00
1.160000000000e-01,4.603506261370e+00,4.603659316560e+00
1.170000000000e-01,4.554693860531e+00,4.554848789604e+00
1.180000000000e-01,4.506191677080e+00,4.506347705777e+00
1.190000000000e-01,4.458001203372e+00,4.458159084968e+00
1.200000000000e-01,4.410126755779e+00,4.410285988487e+00
1.210000000000e-01,4.362570824498e+00,4.362731284123e+00
1.220000000000e-01,4.315335824309e+00,4.315497564255e+00
1.230000000000e-01,4.268424186026e+00,4.268587500784e+00
1.240000000000e-01,4.221839398157e+00,4.222003777011e+00
1.250000000000e-01,4.175583650566e+00,4.175748531390e+00
1.260000000000e-01,4.129657216061e+00,4.129823648130e+00
1.270000000000e-01,4.084063797958e+00,4.084231459537e+00
1.280000000000e-01,4.038806233824e+00,4.038973975663e+00
1.290000000000e-01,3.993883705981e+00,3.994052499587e+00
1.300000000000e-01,3.949298970780e+00,3.949468446858e+00
1.310000000000e-01,3.905053395440e+00,3.905223154578e+00
1.320000000000e-01,3.861146998560e+00,3.861317805584e+00
1.330000000000e-01,3.817582537632e+00,3.817753763943e+00
1.340000000000e-01,3.774360526411e+00,3.774532132823e+00
1.350000000000e-01,3.731481877508e+00,3.731653602308e+00
1.360000000000e-01,3.688946554166e+00,3.689118742577e+00
1.370000000000e-01,3.646755570823e+00,3.646928325725e+00
1.380000000000e-01,3.604910463127e+00,3.605083063928e+00
1.390000000000e-01,3.563410195681e+00,3.563583390197e+00
1.400000000000e-01,3.522256766338e+00,3.522429674222e+00
1.410000000000e-01,3.481448936433e+00,3.481621972096e+00
1.420000000000e-01,3.440987472519e+00,3.441160104502e+00
1.430000000000e-01,3.400871031214e+00,3.401043840138e+00
1.440000000000e-01,3.361100230954e+00,3.361273187085e+00
1.450000000000e-01,3.321675767095e+00,3.321848002618e+00
1.460000000000e-01,3.282595385624e+00,3.282767782541e+00
1.470000000000e-01,3.243859920290e+00,3.244032321080e+00
1.480000000000e-01,3.205469366243e+00,3.205641498330e+00
1.490000000000e-01,3.167423262164e+00,3.167594712075e+00
1.500000000000e-01,3.129720071036e+00,3.129890873457e+00
1.510000000000e-01,3.092358308855e+00,3.092528872603e+00
1.520000000000e-01,3.055338034070e+00,3.055507701435e+00
1.530000000000e-01,3.018656687076e+00,3.018826361085e+00
1.540000000000e-01,2.982314972103e+00,2.982484132029e+00
1.550000000000e-01,2.946311572882e+00,2.946480163429e+00
